row ID,row m/z,row retention time,10_QC.CDF Peak area,11_Callo_52_9mg_3.CDF Peak area,12_Brote_14_5mg_1.CDF Peak area,13_Brote_50 _ 1mg_3.CDF Peak area,15_Brote_76_08mg_1.CDF Peak area,14_Brote_44_2 mg_2.CDF Peak area,16_Brote_25_ 3 mg_1.CDF Peak area,17_Brote_33_5 mg_3.CDF Peak area,18_Brote_6_6mg_2.CDF Peak area,19_Brote_22_3mg_2.CDF Peak area,20_Brote_6_6mg_1.CDF Peak area,21_QC.CDF Peak area,22_Brote_76_08mg_2.CDF Peak area,23_Brote_50 _ 1mg_2.CDF Peak area,24_Brote_33_4mg_1.CDF Peak area,25_Brote_44_2 mg_3.CDF Peak area,26_Brote_6_8mg_1.CDF Peak area,27_Brote_12_5mg_2.CDF Peak area,28_Brote_24_ 8mg_3.CDF Peak area,29_Brote_25_ 3 mg_3.CDF Peak area,30_Brote_33_4mg_2.CDF Peak area,31_Brote_22_3mg_3.CDF Peak area,32_QC.CDF Peak area,34_Brote_14_5mg_2.CDF Peak area,36_Callo_40_2mg_1.CDF Peak area,35_Brote_76_08mg_3.CDF Peak area,37_Brote_27_8 mg_1.CDF Peak area,38_Callo_40_2mg_3.CDF Peak area,39_Callo_52_9mg_1.CDF Peak area,40_Brote_6_6mg_2.CDF Peak area,41_Brote_12_5mg_3.CDF Peak area,42_Callo_56_2mg_2.CDF Peak area,43_Brote_33_5 mg_2.CDF Peak area,44_QC.CDF Peak area,45_Callo_52_9mg_2.CDF Peak area,46_Brote_33_4mg_3.CDF Peak area,47_Brote_12_5mg_1.CDF Peak area,48_Brote_6_8mg_3.CDF Peak area,49_Brote_27_8 mg_2.CDF Peak area,50_Brote_24_ 8mg_1.CDF Peak area,51_Brote_33_5 mg_1.CDF Peak area,52_Brote_14_5mg_3.CDF Peak area,53_Brote_24_ 8mg_2.CDF Peak area,54_Brote_44_2 mg_1.CDF Peak area,55_QC.CDF Peak area,57_Brote_27_8 mg_3.CDF Peak area,58_Brote_22_3mg_1.CDF Peak area,59_Callo_40_2mg_2.CDF Peak area,5_Ext_blank.CDF Peak area,60_Brote_50 _ 1mg_1.CDF Peak area,61_Callo_56_2mg_3.CDF Peak area,62_Callo_56_2mg_1.CDF Peak area,63_Brote_6_8mg_2.CDF Peak area,64_Brote_25_ 3 mg_2.CDF Peak area,65_QC.CDF Peak area,66_QC.CDF Peak area,9_QC.CDF Peak area
1,0,3.06,0.0,226650.21118749003,251949.5636062972,267878.5040110309,300028.4859685952,270471.9356813564,333246.42052848986,138658.20835419398,0.0,314703.8101098535,1949.7238612057254,0.0,325945.8195858205,313409.2600540864,343861.2661502113,312391.06236292125,315609.86269051704,339706.6672688239,356028.15115105524,359598.2253204782,365888.9078933803,397608.34055504634,2886.9636138170313,266878.8532308219,303384.61525308393,258677.39522938835,350379.72217877326,299497.44391626964,284201.9309410845,0.0,318211.07476711465,292216.89459125715,332497.0381101807,13863.946700930977,440693.5471019963,334872.84924060485,305029.94144955405,374742.41589318396,422421.59770214773,359117.49109938706,315892.16577748075,265747.89044356736,351213.2531163913,302519.0560511547,8214.947134252281,304007.5413606237,358255.5273525628,288923.1767120755,324011.65935135924,324329.32350497326,293147.4385560191,320268.5770944185,354335.70667816664,378103.73906859796,0.0,8953.605978513891,0.0
2,0,3.06,83178.17687942075,418440.7818682299,194182.10627644212,156773.41693088005,137926.61443252277,109361.80220936787,83998.74999723895,10828.562510899408,107973.97147853069,42357.38289863229,88685.4300736875,73269.12097280733,142463.79275462913,171829.80337617573,100410.40559524656,109988.60275847992,80282.5460823898,188502.56379981508,94654.96489434536,95638.73894982538,102747.56475537596,84825.39546004296,69225.34552527241,138311.5070111218,263579.6732717892,111652.38760127568,75108.6838737304,259497.74492066546,165077.78034533485,91516.788655073,2203.3690225160417,321105.7356632092,59487.69072199103,72832.88226236387,0.0,97033.18559110405,211713.93933481988,55890.51569129993,73492.99907685051,98481.94109894213,67657.54069249125,138448.52553761235,96862.47985493981,119117.72617539484,14683.420112684023,63107.59642551643,43724.1420710303,198415.3023036346,0.0,160325.62445134722,217357.9391976177,218848.59209160358,57768.59683687495,86248.57433126941,88205.38593776633,18138.17779004545,76890.32394982423
3,0,3.13,40797.00569704241,100357.88520734828,109523.83655996631,112013.83128804508,99859.95966146076,110796.42455560017,102020.72248125217,114569.17899999493,7500.458867328904,133223.13674160436,2823.223883054472,471.91297495025833,108986.74431664337,118871.0560964318,110174.98154096524,120647.87554671045,140507.41329382668,124503.33972345619,108136.87077710377,123872.1545163029,112165.69002795249,128795.68822466815,492.41770168724264,95601.25246642856,94964.5129405873,97257.89016496613,107305.267329013,88545.12020912845,105162.49502942305,1456.0837439288198,121644.22424411123,95849.56105558555,115778.1955181949,1122.325251335145,105627.18745996633,116783.90914896189,10361.765487068822,109579.16366583348,126386.94983163422,112702.4534588766,124467.85009340328,106056.4706471266,104927.75002179887,117774.22360754467,0.0,101653.19682354393,92310.94564635768,96440.05497248533,106386.47154665398,115757.49510759696,96180.9524218178,77573.15777055836,100969.01058491149,89207.24039468006,8783.42304684434,786.3011568325871,195.44136611449343
4,0,3.13,2709.763777101117,0.0,0.0,0.0,0.0,0.0,2619.9125936669548,2230.1647521967643,15581.78684699123,4425.4841527744575,41.73744993160995,91.64783939989002,39.570359956181825,4917.066262493553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21355.916376102417,0.0,13834.439235084428,0.0,4916.52951995654,27514.819441202584,31372.89718660083,3168.1266568482597,0.0,5107.492734339778,31036.767605100416,18086.7466777408,24913.706327207827,0.0,283.9118566061542,5782.777346368139,12387.731637113518,7758.387509073472,0.0,0.0,0.0,0.0,179150.58325944614,0.0,22813.93994161095,38678.820482658186,0.0,0.0,0.0,16139.03355387833,567.4786135783369,7312.9623030167895,518.3351078730676,24852.770137463165,2623.3579064337296
5,0,3.21,7138.7032212539925,135974.70941841215,168870.37845679148,127633.19837776215,175122.3537430475,177463.15328374406,182906.73862174246,119745.15235950539,0.0,110645.92465267963,0.0,4517.206810709064,138859.20016224007,140948.01265998813,153918.53234989994,120035.01146214342,36593.00957017765,185826.65363433247,99643.36991482887,115889.51027624568,148309.41022507063,143037.42143219186,1329.4836248926636,145839.82499601587,150226.37449172858,135849.19378154626,164076.54171603342,134381.9101703992,118530.71262764173,0.0,119643.9608452311,151000.52171498392,155443.72329678142,0.0,161300.04398034565,122426.16146583462,26939.719268388253,173937.00306366288,212116.0743077547,127391.9135166974,103643.746846992,95673.6079380428,125055.97399296069,81516.60395487591,8.08783820452445,128658.31454482654,182822.30008974078,121978.8806508972,179817.22087134566,82655.47671644378,85889.72252219697,154001.393256154,144572.96184307858,156669.61235327277,1035.0298560303193,670.6677743104686,9081.77973381558
6,0,3.21,0.0,113425.92258056258,2121.459337926904,104253.64274252324,707.5596554387924,8887.33752089333,103895.6130496847,45852.218858467175,102560.5982148762,65542.29616406506,90931.37255015547,11559.198049565104,0.0,137772.69226863937,60522.422673472676,3855.4217360159705,0.0,0.0,28315.959465968124,0.0,0.0,0.0,13759.992050917626,0.0,75188.06360554577,201.5103939289378,33260.739325949085,77595.00527591824,71984.48486603277,59513.381501066426,39631.75867571875,45317.84613110785,52382.989953423334,42393.89595903475,72898.67274477742,0.0,0.0,0.0,36355.42470853146,17037.541794874363,0.0,0.0,15934.066879980375,2402.429770333109,10778.607040446708,0.0,11727.991936360091,28773.496267050166,1295.1998482362962,2470.597208139524,16321.162696231026,30639.518052241263,0.0,39300.04861770975,0.0,3294.550655439951,0.0
7,0,3.28,66363.53787808567,206.82357303017852,225.56390485429938,346.9389368616844,363.6992054271072,311.73844741291856,272.7831682823645,14.216007574042413,0.0,264.13514549119213,0.0,15057.598686840847,3175.024837246444,363.2598122019955,391.56446398929853,405.26788463961236,3554.460386580029,1033.7861606541671,375.51338462863566,409.0028731197879,413.05390208601034,435.66478701679534,25508.70105163121,1053.5165947817281,309.2136567154178,524.8678870840906,687.5908155098928,351.8295003946734,361.02580592872766,137.16779820692264,1091.1652371100056,506.3155265081881,1061.1290677206605,26.16460599316753,428.1294018543974,1045.6434051902033,63808.67182877053,856.0490469670682,382.2151829254231,1047.5503943574893,849.3045552671042,1140.3882061934462,692.4912175308694,10693.475489092138,279.5555988445147,916.1931239130307,737.6939069391349,548.2673943698177,215.22281687639202,790.8784693089948,1347.0027473272548,997.1453043311128,1188.1628979817194,616.5001743146522,19141.92640908445,585.1685562435467,45355.552981267196
8,0,3.28,1944.9973775648632,241.3586162196696,194.77588376202613,222.07343099000823,80.86749346265917,171.50831668893514,340.5945756445983,119.56127468474159,18441.987174652033,108.90852209770864,50736.35562682778,10352.657425162432,313.17233684395126,158.6151494266048,96.01215686982944,210.70312477945475,0.0,152.05359999722657,63.19157570826064,288.4481825482164,185.97437393257653,165.9026377431011,8693.918501201271,268.7483127408456,189.5548229506253,105.30813756230788,210.5008598456601,80.04552086038277,191.75966933935345,36623.74865886661,10832.221308390794,131.70784289697568,230.58723900833698,3017.016233642261,343.58853970014,208.25293175708615,2974.3646087103184,216.91860465792482,81.19290816898149,73.42323932375753,3918.625486584516,8684.60906333755,129.7715436061546,0.0,2401.0921851728626,288.7456750688442,295.0215050824347,209.2527459894022,305.56745755307116,298.5953035815258,389.89804689858283,245.20236411269119,379.3377261835389,241.24669307970115,0.0,1838.8635398376969,8245.41475019145
9,0,3.32,48213.76620305256,105266.91908523733,311873.3869789986,123161.22235648574,154332.38081699336,125675.42839116356,271741.1105222381,145573.2851619765,288645.807599863,117628.0756905468,218331.98776208225,239461.2448680836,170929.49861049931,113494.94383350216,195710.90196495407,102494.67223569004,305250.8418861353,304016.6391477193,721.9685936500036,246961.71231651906,189484.16795219935,77624.65432053871,140.18509091050214,173442.3289143892,20810.548701942684,95764.84710089614,163910.90466716816,23225.18629669159,78097.08066741966,229105.5809801344,279369.2641886192,143151.56547339758,103242.6079728188,182575.30004843292,67341.99917530366,144231.35326174798,206474.17234963237,229887.41767584876,140621.64103667872,412.1276476104629,62414.093681564016,180385.97099070187,635.0291516947271,199.81184818831883,248.0569885060175,81496.6053996682,469.3414305833332,158.5233939886845,113.70256630726392,301.7285525456681,126279.5904334342,110513.83362361313,215067.63461216292,173437.9685348907,4660.250689310362,216.249113552667,243785.47941339962
10,0,3.39,17779.555995759136,44784.91232687699,49630.50178094141,40029.59073080034,43973.94463274132,45241.047525023045,64263.36968776772,1708.670335325991,15369.400616617457,44333.210178533234,14838.201672557276,23465.599690589923,46538.248912416435,35760.95133130218,36475.66064443549,46643.188703141415,35487.96829440137,28574.276459511308,34716.224145225526,54305.78559119747,38772.69744182674,48350.04350937368,15167.260748161323,43621.48080749221,35629.78456475212,38277.542745960636,35272.635571358325,37204.3764233583,35110.591672782815,9604.023309213528,22813.331664211466,39190.325080762836,37701.37782553853,467.4315371783783,41933.45609453814,34991.654825070225,18077.42491216155,18562.902783277583,53224.87035435846,23865.643804927997,31858.615714528107,33587.404498006435,31373.746629722562,36657.01874188281,965.7365715784397,27527.71126073769,24529.59337108245,16897.620640492754,61528.68182617072,1806.956018532536,33602.22437991238,40434.79293956576,15073.006194104151,41430.099538576666,4575.729276712771,876.5776108055933,19538.15400814335
