row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,5_Ext_blank.mzXML Peak height,13_Brote_50 _ 1mg_3.mzXML Peak height,35_Brote_76_08mg_3.mzXML Peak height,10_QC.mzXML Peak height,52_Brote_14_5mg_3.mzXML Peak height,15_Brote_76_08mg_1.mzXML Peak height,34_Brote_14_5mg_2.mzXML Peak height,11_Callo_52_9mg_3.mzXML Peak height,41_Brote_12_5mg_3.mzXML Peak height,65_QC.mzXML Peak height,17_Brote_33_5 mg_3.mzXML Peak height,49_Brote_27_8 mg_2.mzXML Peak height,40_Brote_6_6mg_2.mzXML Peak height,31_Brote_22_3mg_3.mzXML Peak height,29_Brote_25_ 3 mg_3.mzXML Peak height,30_Brote_33_4mg_2.mzXML Peak height,48_Brote_6_8mg_3.mzXML Peak height,20_Brote_6_6mg_1.mzXML Peak height,60_Brote_50 _ 1mg_1.mzXML Peak height,27_Brote_12_5mg_2.mzXML Peak height,50_Brote_24_ 8mg_1.mzXML Peak height,22_Brote_76_08mg_2.mzXML Peak height,43_Brote_33_5 mg_2.mzXML Peak height,36_Callo_40_2mg_1.mzXML Peak height,45_Callo_52_9mg_2.mzXML Peak height,55_QC.mzXML Peak height,46_Brote_33_4mg_3.mzXML Peak height,64_Brote_25_ 3 mg_2.mzXML Peak height,16_Brote_25_ 3 mg_1.mzXML Peak height,59_Callo_40_2mg_2.mzXML Peak height,9_QC.mzXML Peak height,53_Brote_24_ 8mg_2.mzXML Peak height,39_Callo_52_9mg_1.mzXML Peak height,62_Callo_56_2mg_1.mzXML Peak height,54_Brote_44_2 mg_1.mzXML Peak height,24_Brote_33_4mg_1.mzXML Peak height,12_Brote_14_5mg_1.mzXML Peak height,66_QC.mzXML Peak height,21_QC.mzXML Peak height,51_Brote_33_5 mg_1.mzXML Peak height,19_Brote_22_3mg_2.mzXML Peak height,63_Brote_6_8mg_2.mzXML Peak height,44_QC.mzXML Peak height,58_Brote_22_3mg_1.mzXML Peak height,28_Brote_24_ 8mg_3.mzXML Peak height,57_Brote_27_8 mg_3.mzXML Peak height,37_Brote_27_8 mg_1.mzXML Peak height,25_Brote_44_2 mg_3.mzXML Peak height,47_Brote_12_5mg_1.mzXML Peak height,14_Brote_44_2 mg_2.mzXML Peak height,26_Brote_6_8mg_1.mzXML Peak height,18_Brote_6_6mg_2.mzXML Peak height,38_Callo_40_2mg_3.mzXML Peak height,23_Brote_50 _ 1mg_2.mzXML Peak height,61_Callo_56_2mg_3.mzXML Peak height,32_QC.mzXML Peak height,42_Callo_56_2mg_2.mzXML Peak height,
1,94.00917835544318,3.2294114,,,,,,,,,,,0,13190.129,2314.0,5396.0,0,2900.0,10095.0,11676.0,11226.0,0,8210.0,0,0,6917.0,9086.0,9274.0,0,0,0,13633.737,0,3046.0,8274.0,10903.0,0,0,7820.0,0,9590.0,0,5050.0,3662.0,11644.0,0,0,9777.0,10009.0,0,6833.483,7262.0,7841.0,0,0,0,4410.0,0,7134.0,11914.0,10137.0,10710.0,2238.0,0,11770.0,17241.633,0,0,8382.0,
2,101.04888017327055,3.2306669,,,,,,,,,,,0,0,0,0,12528.375,0,0,0,0,0,0,13662.299,0,0,0,0,13355.395,0,12925.619,0,13487.725,0,0,0,12297.0,0,0,12925.928,0,11768.194,0,0,0,12035.88,13250.952,0,0,0,0,0,0,12646.9375,2389.0,12112.972,0,11840.983,0,0,0,0,0,0,0,0,12166.055,0,0,
4,94.01347318728432,3.2366667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9177.941,0,0,0,0,10469.8545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9715.726,0,0,0,0,0,
5,80.00622192757425,3.2583334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2708.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5053.5586,0,0,0,0,0,1767.0,0,0,0,0,0,4727.3735,0,0,0,0,0,0,0,0,0,0,3052.0,0,0,0,0,0,0,4960.506,0,
22,73.00842246252682,3.2989998,,,,,,,,,,,0,0,0,846.0,0,0,0,0,1812.0,0,0,0,0,0,0,0,1380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.8188,0,0,0,0,0,0,1537.0,0,0,0,0,0,0,0,0,
23,55.00000000000001,3.3125,,,,,,,,,,,0,8740.79,0,0,0,0,0,8174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214.857,0,0,0,9216.095,0,0,0,
30,71.00152753184204,3.3249998,,,,,,,,,,,0,0,6674.0,0,0,0,0,0,0,0,0,0,0,0,0,10866.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7009.0,0,0,0,0,0,0,0,0,0,
31,71.0007482724361,3.3265386,,,,,,,,,,,0,0,0,7101.5884,11167.924,10390.228,0,0,14789.383,0,0,0,0,0,0,0,13190.028,0,0,17454.482,0,10086.955,0,0,0,0,0,10063.607,0,0,0,0,0,0,0,11358.788,17083.393,0,0,0,0,13172.7705,0,0,0,0,0,0,11660.312,0,17868.482,0,0,0,0,0,0,
36,71.00229373434244,3.33,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7522.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7840.1787,0,9684.0,
44,54.99964446750741,3.3424997,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9828.713,0,7210.4536,0,0,0,0,0,0,0,0,8300.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6365.791,0,0,0,0,0,0,0,0,0,0,0,
47,57.00120245996402,3.3668747,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2814.5107,0,0,3465.0,0,0,0,0,0,0,0,0,0,0,0,0,4312.674,0,0,0,0,6036.0,0,0,0,0,0,0,4039.3801,6500.0,0,0,0,5858.0,0,0,0,0,0,0,0,0,0,0,0,0,5338.0,0,
54,57.00097612684002,3.3872223,,,,,,,,,,,0,9071.028,0,4326.269,9153.0,0,0,8284.924,0,0,0,0,0,0,8752.053,0,0,0,0,8320.445,0,0,8686.842,0,0,0,0,0,0,0,5552.5503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8624.692,
55,56.99942043215773,3.3883333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8828.843,0,0,0,0,0,0,0,0,0,0,8780.439,0,0,0,0,8740.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,56.99984240582283,3.389,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8193.637,0,0,0,0,0,0,0,0,0,0,9103.395,0,0,0,0,0,0,0,8653.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9355.463,0,0,0,0,0,9666.714,0,0,0,
62,57.00000000000001,3.3912501,,,,,,,,,,,0,0,0,0,0,8624.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8941.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8794.802,0,0,9167.553,0,0,0,0,
63,57.00000000000001,3.392143,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9067.565,0,0,0,0,6534.5796,0,0,0,8607.0,0,0,0,0,0,8383.114,0,0,0,0,8292.0,0,8644.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8399.731,0,0,
64,57.00062848890719,3.3941667,,,,,,,,,,,0,0,7729.655,0,0,0,7849.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8714.966,0,0,0,0,0,0,0,0,0,0,0,0,0,8519.762,8121.004,0,0,0,8184.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,80.00436886623866,3.3949997,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2439.0,0,0,0,0,0,0,0,0,0,0,0,0,3529.9202,0,0,0,0,0,0,0,0,0,0,0,3415.3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,59.95303964707767,3.4116669,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423.0,0,0,1574.0187,0,0,0,0,0,0,0,0,
82,59.95066553711289,3.4333334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514.5848,1531.0,0,0,0,0,0,0,0,0,0,0,0,0,1500.0,0,
98,95.9917712494816,3.4899998,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4210.9307,0,0,0,0,0,0,0,0,0,0,0,0,2806.3848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3423.2568,0,0,
