row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,5_Ext_blank.mzXML Peak height,13_Brote_50 _ 1mg_3.mzXML Peak height,46_Brote_33_4mg_3.mzXML Peak height,28_Brote_24_ 8mg_3.mzXML Peak height,11_Callo_52_9mg_3.mzXML Peak height,19_Brote_22_3mg_2.mzXML Peak height,44_QC.mzXML Peak height,35_Brote_76_08mg_3.mzXML Peak height,37_Brote_27_8 mg_1.mzXML Peak height,66_QC.mzXML Peak height,42_Callo_56_2mg_2.mzXML Peak height,43_Brote_33_5 mg_2.mzXML Peak height,59_Callo_40_2mg_2.mzXML Peak height,15_Brote_76_08mg_1.mzXML Peak height,55_QC.mzXML Peak height,39_Callo_52_9mg_1.mzXML Peak height,57_Brote_27_8 mg_3.mzXML Peak height,41_Brote_12_5mg_3.mzXML Peak height,14_Brote_44_2 mg_2.mzXML Peak height,17_Brote_33_5 mg_3.mzXML Peak height,9_QC.mzXML Peak height,22_Brote_76_08mg_2.mzXML Peak height,52_Brote_14_5mg_3.mzXML Peak height,20_Brote_6_6mg_1.mzXML Peak height,12_Brote_14_5mg_1.mzXML Peak height,51_Brote_33_5 mg_1.mzXML Peak height,63_Brote_6_8mg_2.mzXML Peak height,18_Brote_6_6mg_2.mzXML Peak height,65_QC.mzXML Peak height,32_QC.mzXML Peak height,23_Brote_50 _ 1mg_2.mzXML Peak height,58_Brote_22_3mg_1.mzXML Peak height,62_Callo_56_2mg_1.mzXML Peak height,54_Brote_44_2 mg_1.mzXML Peak height,30_Brote_33_4mg_2.mzXML Peak height,60_Brote_50 _ 1mg_1.mzXML Peak height,38_Callo_40_2mg_3.mzXML Peak height,25_Brote_44_2 mg_3.mzXML Peak height,24_Brote_33_4mg_1.mzXML Peak height,31_Brote_22_3mg_3.mzXML Peak height,47_Brote_12_5mg_1.mzXML Peak height,27_Brote_12_5mg_2.mzXML Peak height,21_QC.mzXML Peak height,16_Brote_25_ 3 mg_1.mzXML Peak height,10_QC.mzXML Peak height,64_Brote_25_ 3 mg_2.mzXML Peak height,34_Brote_14_5mg_2.mzXML Peak height,53_Brote_24_ 8mg_2.mzXML Peak height,29_Brote_25_ 3 mg_3.mzXML Peak height,49_Brote_27_8 mg_2.mzXML Peak height,45_Callo_52_9mg_2.mzXML Peak height,26_Brote_6_8mg_1.mzXML Peak height,36_Callo_40_2mg_1.mzXML Peak height,50_Brote_24_ 8mg_1.mzXML Peak height,40_Brote_6_6mg_2.mzXML Peak height,48_Brote_6_8mg_3.mzXML Peak height,61_Callo_56_2mg_3.mzXML Peak height,
3,83.0313187211921,49.648335,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2468.8865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166.7617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2035.9749,0,0,0,0,
7,57.00519949029633,49.650833,,,,,,,,,,,0,0,0,0,0,0,0,2921.7234,3312.7812,0,0,3478.0,0,0,0,4040.0942,2095.2668,0,0,0,0,0,3308.248,0,0,0,0,0,0,0,0,0,3427.9497,0,0,0,0,3431.7185,0,0,0,0,0,0,0,0,3321.1565,0,0,3114.7673,4102.3745,0,0,0,0,0,3233.6477,
8,57.006111784718435,49.65687,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4412.266,0,0,0,0,0,0,4150.82,3628.3923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3078.0,0,0,0,0,0,2827.8108,3748.6982,4173.9033,0,0,0,2714.3464,0,0,0,0,0,0,0,0,0,0,0,
9,57.0019550534177,49.691666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4529.7505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4302.7656,0,0,0,4511.054,0,
10,57.00098474259712,50.031666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28774.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26819.174,0,0,0,28311.38,0,
11,57.01212209414823,50.033752,,,,,,,,,,,0,0,0,0,0,0,9827.321,0,0,0,0,0,0,0,0,0,0,0,0,0,7599.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9915.835,0,7008.0776,0,0,0,0,0,0,0,0,0,0,0,0,
12,57.00519988674371,50.0355,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8380.426,0,0,0,0,7965.2017,0,0,11328.139,0,0,0,0,0,10869.698,0,0,0,11254.084,7416.1816,9500.992,0,0,0,0,0,0,0,0,0,0,10695.979,11676.21,0,0,0,0,0,0,0,0,0,0,0,0,11082.331,0,0,
15,57.00796360902947,50.066196,,,,,,,,,,,0,5880.941,0,5696.9062,6927.968,0,0,4338.2837,0,0,5398.7383,0,4210.9697,4965.207,0,10780.0,0,0,4930.7534,0,0,5390.002,0,0,0,0,0,0,0,0,6616.088,0,4328.6045,4256.2754,0,4615.0,6231.759,4778.9717,0,0,0,0,0,0,0,0,0,5323.386,0,0,10385.0,0,5973.0093,5010.6304,0,0,4029.2625,
19,75.00239057104585,50.20167,,,,,,,,,,,0,0,0,24762.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22020.55,0,0,0,0,0,20882.45,0,0,0,
23,74.00328184862502,50.480625,,,,,,,,,,,0,4251.6187,0,0,0,0,0,0,0,0,0,6341.643,0,0,0,0,0,6108.6387,5036.256,0,0,6568.283,0,0,0,0,0,0,0,0,0,0,0,0,4950.599,0,0,0,4263.538,0,0,4442.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
