row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,5_Ext_blank.mzXML Peak height,53_Brote_24_ 8mg_2.mzXML Peak height,47_Brote_12_5mg_1.mzXML Peak height,62_Callo_56_2mg_1.mzXML Peak height,60_Brote_50 _ 1mg_1.mzXML Peak height,13_Brote_50 _ 1mg_3.mzXML Peak height,26_Brote_6_8mg_1.mzXML Peak height,48_Brote_6_8mg_3.mzXML Peak height,16_Brote_25_ 3 mg_1.mzXML Peak height,49_Brote_27_8 mg_2.mzXML Peak height,32_QC.mzXML Peak height,28_Brote_24_ 8mg_3.mzXML Peak height,11_Callo_52_9mg_3.mzXML Peak height,14_Brote_44_2 mg_2.mzXML Peak height,50_Brote_24_ 8mg_1.mzXML Peak height,12_Brote_14_5mg_1.mzXML Peak height,58_Brote_22_3mg_1.mzXML Peak height,23_Brote_50 _ 1mg_2.mzXML Peak height,46_Brote_33_4mg_3.mzXML Peak height,55_QC.mzXML Peak height,30_Brote_33_4mg_2.mzXML Peak height,38_Callo_40_2mg_3.mzXML Peak height,34_Brote_14_5mg_2.mzXML Peak height,9_QC.mzXML Peak height,21_QC.mzXML Peak height,39_Callo_52_9mg_1.mzXML Peak height,66_QC.mzXML Peak height,35_Brote_76_08mg_3.mzXML Peak height,45_Callo_52_9mg_2.mzXML Peak height,64_Brote_25_ 3 mg_2.mzXML Peak height,10_QC.mzXML Peak height,18_Brote_6_6mg_2.mzXML Peak height,44_QC.mzXML Peak height,51_Brote_33_5 mg_1.mzXML Peak height,36_Callo_40_2mg_1.mzXML Peak height,37_Brote_27_8 mg_1.mzXML Peak height,41_Brote_12_5mg_3.mzXML Peak height,15_Brote_76_08mg_1.mzXML Peak height,54_Brote_44_2 mg_1.mzXML Peak height,42_Callo_56_2mg_2.mzXML Peak height,57_Brote_27_8 mg_3.mzXML Peak height,17_Brote_33_5 mg_3.mzXML Peak height,40_Brote_6_6mg_2.mzXML Peak height,19_Brote_22_3mg_2.mzXML Peak height,59_Callo_40_2mg_2.mzXML Peak height,22_Brote_76_08mg_2.mzXML Peak height,29_Brote_25_ 3 mg_3.mzXML Peak height,27_Brote_12_5mg_2.mzXML Peak height,25_Brote_44_2 mg_3.mzXML Peak height,63_Brote_6_8mg_2.mzXML Peak height,61_Callo_56_2mg_3.mzXML Peak height,52_Brote_14_5mg_3.mzXML Peak height,43_Brote_33_5 mg_2.mzXML Peak height,65_QC.mzXML Peak height,31_Brote_22_3mg_3.mzXML Peak height,20_Brote_6_6mg_1.mzXML Peak height,24_Brote_33_4mg_1.mzXML Peak height,
2,315.0746437511431,54.315002,,,,,,,,,,,0,1303.7518,0,0,0,0,0,0,0,0,0,1228.0,0,0,1302.8866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,95.04881078462093,54.317833,,,,,,,,,,,0,0,9344.495,17729.088,12387.222,13299.266,8178.287,8171.8643,12480.97,18792.06,13685.672,0,10294.06,12088.772,0,21188.965,17703.613,15287.581,15136.955,11766.541,15130.463,11973.262,23009.754,10127.681,14223.353,11945.735,12355.054,22228.684,12165.595,11959.587,9830.895,18120.346,14187.763,17248.092,11090.425,18076.424,10358.265,22834.637,12565.125,18369.086,14250.57,15220.313,18299.168,22076.24,10351.722,26201.744,11727.912,9712.252,13632.1045,7973.2603,17465.617,24199.582,19307.943,10633.099,21549.258,18160.578,16522.533,
7,55.00001202994768,54.766384,,,,,,,,,,,0,18967.582,47781.28,0,55362.43,59962.062,27894.652,28402.742,63166.62,0,59940.504,17951.773,63674.695,57897.45,18256.576,103892.984,67097.195,65128.26,68552.99,52686.723,67560.766,69439.38,108792.98,49245.72,62354.355,0,55278.09,65167.58,73638.62,0,47024.754,105677.695,62474.418,63415.84,65819.914,65018.805,0,65672.65,58609.918,91634.91,0,56550.68,0,78246.82,62009.547,73255.81,0,49750.156,62873.23,28055.762,87385.75,113628.38,0,47773.31,74364.55,102884.95,72476.195,
8,55.0,54.77444,,,,,,,,,,,0,0,0,90480.625,0,0,0,0,0,66539.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71521.7,0,0,0,61843.18,0,0,0,0,0,0,49074.047,0,0,0,55587.16,0,108011.14,0,0,0,60260.63,0,0,0,0,0,71029.8,0,0,0,0,
10,74.00773121823643,55.41333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2364.57,0,2193.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2188.0,
11,81.01916632694507,55.628414,,,,,,,,,,,0,7623.559,17756.0,19534.0,13654.0,14633.0,19214.0,20150.0,22326.0,31122.0,22833.0,8234.0,15699.0,23770.0,8242.0,25098.0,0,16750.0,29342.0,19886.0,28884.0,20230.0,26111.0,16599.0,23209.0,20710.0,21068.0,42742.0,20225.0,22159.0,16283.0,19762.0,23806.0,0,18885.0,28298.0,19127.0,42909.0,24875.0,20007.0,24630.0,25503.0,19758.0,41520.0,17558.0,45642.0,20558.0,18223.0,25927.0,19142.0,19863.0,27810.0,31817.0,17494.0,41172.0,19743.0,29343.0,
16,280.9578863532058,55.90333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9412.786,0,0,0,0,0,0,0,0,0,8139.326,0,0,0,0,0,0,0,9612.012,0,0,0,0,0,0,0,0,0,0,0,
18,280.9369913423393,55.90518,,,,,,,,,,,0,8400.985,8776.16,0,8577.503,6527.824,0,0,6637.944,0,7957.014,7791.365,6171.894,6276.7085,8467.11,0,0,8182.611,8058.2793,0,0,7847.3745,0,5236.306,7291.936,8936.894,8611.066,0,8911.729,8650.67,0,7057.954,0,0,7559.431,0,8525.237,0,8468.414,0,0,0,8161.499,0,7850.8115,0,7795.1606,8135.4326,7308.665,0,0,0,0,0,0,7318.5513,0,
20,119.05000305175781,56.22,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36315.902,0,0,0,0,0,0,0,0,0,0,24995.146,0,0,0,0,0,0,0,0,0,0,0,0,32149.71,0,
22,55.00056612239028,56.263577,,,,,,,,,,,0,8143.0156,0,4100.0,4295.0,0,0,0,0,0,0,7537.4556,0,0,8307.842,0,0,5545.0,0,0,0,0,0,0,0,5972.0,3607.0,0,6388.0,0,0,7399.0,4582.0,0,0,0,0,0,0,0,0,0,6727.0,0,3321.0,0,0,0,0,0,0,0,0,0,0,7271.0,0,
