row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,5_Wax_Ext_blank.mzXML Peak height,53_Wax_Brote_24_ 8mg_2.mzXML Peak height,45_Wax_Callo_52_9mg_2.mzXML Peak height,11_Wax_Callo_52_9mg_3.mzXML Peak height,13_Wax_Brote_50 _ 1mg_3.mzXML Peak height,29_Wax_Brote_25_ 3 mg_3.mzXML Peak height,37_Wax_Brote_27_8 mg_1.mzXML Peak height,46_Wax_Brote_33_4mg_3.mzXML Peak height,10_Wax_QC.mzXML Peak height,20_Wax_Brote_6_6mg_1.mzXML Peak height,62_Wax_Callo_56_2mg_1.mzXML Peak height,18_Wax_Brote_6_6mg_2.mzXML Peak height,52_Wax_Brote_14_5mg_3.mzXML Peak height,40_Wax_Brote_6_6mg_2.mzXML Peak height,42_Wax_Callo_56_2mg_2.mzXML Peak height,14_Wax_Brote_44_2 mg_2.mzXML Peak height,12_Wax_Brote_14_5mg_1.mzXML Peak height,55_Wax_QC.mzXML Peak height,23_Wax_Brote_50 _ 1mg_2.mzXML Peak height,9_Wax_QC.mzXML Peak height,57_Wax_Brote_27_8 mg_3.mzXML Peak height,34_Wax_Brote_14_5mg_2.mzXML Peak height,54_Wax_Brote_44_2 mg_1.mzXML Peak height,43_Wax_Brote_33_5 mg_2.mzXML Peak height,63_Wax_Brote_6_8mg_2.mzXML Peak height,59_Wax_Callo_40_2mg_2.mzXML Peak height,17_Wax_Brote_33_5 mg_3.mzXML Peak height,47_Wax_Brote_12_5mg_1.mzXML Peak height,27_Wax_Brote_12_5mg_2.mzXML Peak height,21_Wax_QC.mzXML Peak height,15_Wax_Brote_76_08mg_1.mzXML Peak height,65_Wax_QC.mzXML Peak height,25_Wax_Brote_44_2 mg_3.mzXML Peak height,26_Wax_Brote_6_8mg_1.mzXML Peak height,58_Wax_Brote_22_3mg_1.mzXML Peak height,39_Wax_Callo_52_9mg_1.mzXML Peak height,35_Wax_Brote_76_08mg_3.mzXML Peak height,16_Wax_Brote_25_ 3 mg_1.mzXML Peak height,31_Wax_Brote_22_3mg_3.mzXML Peak height,51_Wax_Brote_33_5 mg_1.mzXML Peak height,28_Wax_Brote_24_ 8mg_3.mzXML Peak height,30_Wax_Brote_33_4mg_2.mzXML Peak height,38_Wax_Callo_40_2mg_3.mzXML Peak height,48_Wax_Brote_6_8mg_3.mzXML Peak height,60_Wax_Brote_50 _ 1mg_1.mzXML Peak height,61_Wax_Callo_56_2mg_3.mzXML Peak height,36_Wax_Callo_40_2mg_1.mzXML Peak height,22_Wax_Brote_76_08mg_2.mzXML Peak height,44_Wax_QC.mzXML Peak height,66_Wax_QC.mzXML Peak height,50_Wax_Brote_24_ 8mg_1.mzXML Peak height,49_Wax_Brote_27_8 mg_2.mzXML Peak height,24_Wax_Brote_33_4mg_1.mzXML Peak height,32_Wax_QC.mzXML Peak height,19_Wax_Brote_22_3mg_2.mzXML Peak height,64_Wax_Brote_25_ 3 mg_2.mzXML Peak height,41_Wax_Brote_12_5mg_3.mzXML Peak height,
1,82.95141993056635,3.7220001,,,,,,,,,,,0,0,786.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601.8068,0,0,0,0,0,0,0,0,0,0,0,727.0,0,0,1167.8934,0,0,0,955.0,0,0,0,0,0,0,0,0,0,0,
2,72.02633862331851,3.7266667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1062.3251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740.0,0,0,0,0,0,0,0,0,952.59045,0,0,0,0,0,0,0,0,0,0,0,
6,58.052401170677314,3.7337499,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938.0,1067.4573,0,0,0,0,0,
9,61.0099437614819,3.765,,,,,,,,,,,0,0,0,0,0,0,0,1660.3542,0,0,0,0,0,0,0,0,860.9752,1066.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219.2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313.4352,0,0,0,0,0,1324.0,0,
52,61.00297688367049,4.17375,,,,,,,,,,,0,38314.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50565.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34390.793,81584.56,0,0,0,0,0,0,0,0,0,0,0,
67,61.00533804836637,4.32125,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58673.348,0,0,0,0,0,0,0,0,0,0,0,0,0,90546.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47210.55,86546.586,0,0,0,0,0,0,0,
69,72.03329561975809,4.333333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047.1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.617,0,0,0,0,0,0,0,0,0,0,0,972.41754,0,0,0,0,0,
82,72.03151461435615,4.433334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839.1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959.8788,844.1398,
106,72.0266840935594,4.55,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1132.5148,0,0,0,0,0,0,0,0,0,0,0,877.1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988.26184,1082.6201,0,0,0,0,0,0,0,0,0,0,0,
139,91.00150168815036,4.848805,,,,,,,,,,,12225.836,15044.69,12916.221,5156.2373,6688.19,7503.286,11107.587,13927.646,0,0,21949.324,0,15673.689,0,12105.296,5072.2163,6518.392,0,6880.457,0,29273.605,16614.273,12602.45,15247.379,44132.754,23545.69,6384.1025,18592.488,11540.512,0,4715.214,0,6262.519,19757.043,29116.896,9596.981,11409.6875,6151.245,9889.742,15947.968,9737.677,8941.582,10007.094,29446.047,20392.264,19967.744,12098.666,6829.1357,0,0,14922.961,14192.493,7800.231,0,6646.02,20390.1,16454.549,
