row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,5_Wax_Ext_blank.mzXML Peak height,19_Wax_Brote_22_3mg_2.mzXML Peak height,53_Wax_Brote_24_ 8mg_2.mzXML Peak height,50_Wax_Brote_24_ 8mg_1.mzXML Peak height,66_Wax_QC.mzXML Peak height,52_Wax_Brote_14_5mg_3.mzXML Peak height,35_Wax_Brote_76_08mg_3.mzXML Peak height,15_Wax_Brote_76_08mg_1.mzXML Peak height,17_Wax_Brote_33_5 mg_3.mzXML Peak height,62_Wax_Callo_56_2mg_1.mzXML Peak height,38_Wax_Callo_40_2mg_3.mzXML Peak height,34_Wax_Brote_14_5mg_2.mzXML Peak height,18_Wax_Brote_6_6mg_2.mzXML Peak height,43_Wax_Brote_33_5 mg_2.mzXML Peak height,41_Wax_Brote_12_5mg_3.mzXML Peak height,29_Wax_Brote_25_ 3 mg_3.mzXML Peak height,58_Wax_Brote_22_3mg_1.mzXML Peak height,23_Wax_Brote_50 _ 1mg_2.mzXML Peak height,28_Wax_Brote_24_ 8mg_3.mzXML Peak height,51_Wax_Brote_33_5 mg_1.mzXML Peak height,49_Wax_Brote_27_8 mg_2.mzXML Peak height,45_Wax_Callo_52_9mg_2.mzXML Peak height,63_Wax_Brote_6_8mg_2.mzXML Peak height,48_Wax_Brote_6_8mg_3.mzXML Peak height,59_Wax_Callo_40_2mg_2.mzXML Peak height,44_Wax_QC.mzXML Peak height,16_Wax_Brote_25_ 3 mg_1.mzXML Peak height,10_Wax_QC.mzXML Peak height,9_Wax_QC.mzXML Peak height,37_Wax_Brote_27_8 mg_1.mzXML Peak height,39_Wax_Callo_52_9mg_1.mzXML Peak height,22_Wax_Brote_76_08mg_2.mzXML Peak height,65_Wax_QC.mzXML Peak height,42_Wax_Callo_56_2mg_2.mzXML Peak height,36_Wax_Callo_40_2mg_1.mzXML Peak height,54_Wax_Brote_44_2 mg_1.mzXML Peak height,31_Wax_Brote_22_3mg_3.mzXML Peak height,30_Wax_Brote_33_4mg_2.mzXML Peak height,64_Wax_Brote_25_ 3 mg_2.mzXML Peak height,60_Wax_Brote_50 _ 1mg_1.mzXML Peak height,26_Wax_Brote_6_8mg_1.mzXML Peak height,12_Wax_Brote_14_5mg_1.mzXML Peak height,21_Wax_QC.mzXML Peak height,11_Wax_Callo_52_9mg_3.mzXML Peak height,27_Wax_Brote_12_5mg_2.mzXML Peak height,24_Wax_Brote_33_4mg_1.mzXML Peak height,46_Wax_Brote_33_4mg_3.mzXML Peak height,47_Wax_Brote_12_5mg_1.mzXML Peak height,40_Wax_Brote_6_6mg_2.mzXML Peak height,55_Wax_QC.mzXML Peak height,13_Wax_Brote_50 _ 1mg_3.mzXML Peak height,20_Wax_Brote_6_6mg_1.mzXML Peak height,14_Wax_Brote_44_2 mg_2.mzXML Peak height,25_Wax_Brote_44_2 mg_3.mzXML Peak height,32_Wax_QC.mzXML Peak height,61_Wax_Callo_56_2mg_3.mzXML Peak height,57_Wax_Brote_27_8 mg_3.mzXML Peak height,
1,81.05000305175781,38.602726,,,,,,,,,,,0,0,8102.1543,6920.3325,0,0,0,0,0,3394.2092,6408.1567,0,0,0,0,0,0,3898.808,7530.7207,0,0,4417.71,0,0,0,0,0,0,0,0,4594.429,0,0,6440.0283,5191.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2992.4675,0,
3,57.0724540493988,39.955,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15506.487,0,0,0,8881.164,0,0,0,0,0,0,0,0,0,0,0,0,15639.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,71.09584699031508,39.957184,,,,,,,,,,,0,0,0,0,6340.9434,0,0,0,0,0,0,0,8390.737,0,8564.0,0,0,0,0,0,0,0,15743.0,0,0,6978.0,0,0,9071.0,0,0,0,6118.5903,0,0,0,0,0,0,0,0,0,7282.0,0,8410.0,0,0,7534.0,6031.591,5991.0,5580.0,8294.0,0,8487.0,7425.0,0,0,
6,129.00254039812694,40.683334,,,,,,,,,,,0,0,12228.914,13836.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13935.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,98.05165199728748,40.843334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7369.9956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7400.329,0,0,7954.638,0,0,0,0,0,
11,98.05962812927224,41.16,,,,,,,,,,,0,0,3899.4277,3538.0442,4147.4917,0,0,0,0,3337.1084,0,0,0,0,0,0,1900.7673,0,0,0,0,0,2948.8845,0,2439.6208,0,0,0,0,0,0,0,2767.3096,0,0,0,0,0,4108.2666,0,0,0,0,0,0,0,0,0,0,2501.46,0,0,0,0,0,3361.7498,0,
15,82.07623522634674,41.62,,,,,,,,,,,0,0,0,0,0,0,0,1797.6984,1708.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1831.9354,0,0,0,0,0,0,0,0,0,0,0,0,0,1777.6656,0,0,0,0,0,0,0,0,0,0,0,
18,82.07590225158306,41.631668,,,,,,,,,,,0,0,2764.6992,2370.2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2687.9634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,57.06720149466448,42.2225,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14221.067,0,0,0,8143.52,9007.0,0,0,0,0,0,0,0,0,0,0,0,14056.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,57.05451256895506,42.22805,,,,,,,,,,,0,0,0,0,6611.4033,0,0,0,0,0,0,0,7672.438,0,7750.6,0,0,0,0,0,0,0,13989.617,0,0,7144.8154,5445.0,0,0,0,0,0,6728.683,0,0,0,0,0,0,0,0,5540.0,7312.438,0,7798.554,0,0,7541.284,6823.0,6754.0,6211.0,7829.4473,5369.0,7711.827,7342.2607,0,0,
26,92.02546989880076,42.3925,,,,,,,,,,,0,0,0,0,3766.1677,4074.2017,0,0,0,0,0,0,0,0,0,0,0,0,0,3363.0,0,0,4151.0,0,0,0,0,0,0,0,0,0,0,0,0,2619.0784,0,0,4595.0,2247.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3432.6108,
30,92.03447998962203,42.411667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294.322,0,0,0,0,0,0,0,1861.0632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460.0752,0,0,
37,73.05000305175781,42.45383,,,,,,,,,,,0,54269.324,166951.94,174490.3,84130.19,109761.75,88359.21,73945.55,57682.883,189092.44,65871.9,82732.29,91162.74,77022.28,104517.32,81059.914,88842.82,90206.56,137736.33,98570.74,84010.1,112467.31,95581.09,78010.34,92619.97,108268.2,71646.65,75633.78,79660.21,75318.336,98105.766,73699.88,107463.73,174432.02,63564.953,87665.484,66593.81,64917.87,109679.6,118387.086,63781.676,68354.85,84547.125,77343.89,87625.42,59697.047,74056.33,103975.87,115266.15,123540.33,86595.54,98300.734,52877.777,56929.902,98367.36,194313.2,100058.26,
41,74.04882107855678,42.594997,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2174.0,0,0,0,0,0,2369.0,0,0,
