Unknown: UnknownID=0|RT=54.14|RI=3244.5                              Compound in Library Factor = N/A
Hit 1  : <<o-Anisic acid, 4-nitrophenyl ester>>;<<C14H11NO5>>; MF: 478; RMF: 905; Prob: -1.00; CAS:0; Mw: 273; Lib: <<mainlib>>; Id: 148295; RI: 2300.
Hit 2  : <<o-Anisic acid, 3,4-dichlorophenyl ester>>;<<C14H10Cl2O3>>; MF: 477; RMF: 902; Prob: -1.00; CAS:0; Mw: 296; Lib: <<mainlib>>; Id: 148294; RI: 2236.
Hit 3  : <<o-Anisic acid, 4-chlorophenyl ester>>;<<C14H11ClO3>>; MF: 467; RMF: 893; Prob: -1.00; CAS:0; Mw: 262; Lib: <<mainlib>>; Id: 148290; RI: 2046.
Hit 4  : <<o-Anisic acid, 3-methylphenyl ester>>;<<C15H14O3>>; MF: 468; RMF: 891; Prob: -1.00; CAS:0; Mw: 242; Lib: <<mainlib>>; Id: 148289; RI: 1964.
Hit 5  : <<o-Anisic acid, 4-cyanophenyl ester>>;<<C15H11NO3>>; MF: 464; RMF: 889; Prob: -1.00; CAS:0; Mw: 253; Lib: <<mainlib>>; Id: 148293; RI: 2167.
Hit 6  : <<o-Anisic acid, 3,5-dimethylphenyl ester>>;<<C16H16O3>>; MF: 457; RMF: 875; Prob: -1.00; CAS:0; Mw: 256; Lib: <<mainlib>>; Id: 148291; RI: 2061.
Hit 7  : <<Bis[3,4-methylenedioxybenzyl]sulfone>>;<<C16H14O6S>>; MF: 450; RMF: 828; Prob: -1.00; CAS:49647-49-6; Mw: 334; Lib: <<mainlib>>; Id: 148047; RI: 0.
Hit 8  : <<1-sec-Butyladamantane>>;<<C14H24>>; MF: 439; RMF: 821; Prob: -1.00; CAS:14449-42-4; Mw: 192; Lib: <<mainlib>>; Id: 148617; RI: 1554.
Hit 9  : <<(3-Cyclohexyl-5-hydroxy-5-trifluoromethyl-4,5-dihydro-pyrazol-1-yl)-(4-methoxy-phenyl)-methanone>>;<<C18H21F3N2O3>>; MF: 585; RMF: 820; Prob: -1.00; CAS:0; Mw: 370; Lib: <<mainlib>>; Id: 151734; RI: 0.
Hit 10 : <<o-Anisic acid, 2-methyloct-5-yn-4-yl ester>>;<<C17H22O3>>; MF: 448; RMF: 816; Prob: -1.00; CAS:0; Mw: 274; Lib: <<mainlib>>; Id: 148276; RI: 1944.
Hit 11 : <<1-Isobutyladamantane>>;<<C14H24>>; MF: 436; RMF: 816; Prob: -1.00; CAS:27364-16-5; Mw: 192; Lib: <<mainlib>>; Id: 148623; RI: 0.
Hit 12 : <<o-Anisic acid, tridec-2-ynyl ester>>;<<C21H30O3>>; MF: 433; RMF: 815; Prob: -1.00; CAS:0; Mw: 330; Lib: <<mainlib>>; Id: 149567; RI: 2516.
