Unknown: UnknownID=0|RT=49.652                                       Compound in Library Factor = N/A
Hit 1  : <<1-Tricosene>>;<<C23H46>>; MF: 575; RMF: 835; Prob: -1.00; CAS:18835-32-0; Mw: 322; Lib: <<replib>>; Id: 2525; RI: 2291.
Hit 2  : <<Oxalic acid, allyl octadecyl ester>>;<<C23H42O4>>; MF: 590; RMF: 806; Prob: -1.00; CAS:0; Mw: 382; Lib: <<mainlib>>; Id: 2846; RI: 0.
Hit 3  : <<10-Heneicosene (c,t)>>;<<C21H42>>; MF: 571; RMF: 797; Prob: -1.00; CAS:95008-11-0; Mw: 294; Lib: <<mainlib>>; Id: 22720; RI: 0.
Hit 4  : <<Cyclohexane, 1,1'-[1,2-bis(1,1-dimethylethyl)-1,2-ethanediyl]bis-, (R*,R*)-(ñ)->>;<<C22H42>>; MF: 279; RMF: 797; Prob: -1.00; CAS:65149-85-1; Mw: 306; Lib: <<mainlib>>; Id: 30095; RI: 0.
Hit 5  : <<Pentacos-1-ene>>;<<C25H50>>; MF: 570; RMF: 795; Prob: -1.00; CAS:16980-85-1; Mw: 350; Lib: <<mainlib>>; Id: 22772; RI: 2492.
Hit 6  : <<Nonacos-1-ene>>;<<C29H58>>; MF: 589; RMF: 793; Prob: -1.00; CAS:18835-35-3; Mw: 406; Lib: <<mainlib>>; Id: 27766; RI: 2885.
Hit 7  : <<1-Hexacosene>>;<<C26H52>>; MF: 576; RMF: 790; Prob: -1.00; CAS:18835-33-1; Mw: 364; Lib: <<replib>>; Id: 7333; RI: 2595.
Hit 8  : <<Heptacos-1-ene>>;<<C27H54>>; MF: 590; RMF: 787; Prob: -1.00; CAS:15306-27-1; Mw: 378; Lib: <<mainlib>>; Id: 27748; RI: 2693.
Hit 9  : <<1-Tetracosene>>;<<C24H48>>; MF: 588; RMF: 787; Prob: -1.00; CAS:10192-32-2; Mw: 336; Lib: <<replib>>; Id: 2718; RI: 2394.
Hit 10 : <<Cyclohexane, 1-(1,5-dimethylhexyl)-4-(4-methylpentyl)->>;<<C20H40>>; MF: 428; RMF: 787; Prob: -1.00; CAS:56009-20-2; Mw: 280; Lib: <<mainlib>>; Id: 8074; RI: 0.
Hit 11 : <<Tricosan-2-ol>>;<<C23H48O>>; MF: 585; RMF: 783; Prob: -1.00; CAS:39754-77-3; Mw: 340; Lib: <<replib>>; Id: 5035; RI: 2511.
Hit 12 : <<Oxalic acid, allyl pentadecyl ester>>;<<C20H36O4>>; MF: 558; RMF: 782; Prob: -1.00; CAS:0; Mw: 340; Lib: <<mainlib>>; Id: 2844; RI: 0.
Hit 13 : <<Oxirane, tetradecyl->>;<<C16H32O>>; MF: 592; RMF: 778; Prob: -1.00; CAS:7320-37-8; Mw: 240; Lib: <<replib>>; Id: 1496; RI: 1676.
Hit 14 : <<1-Eicosanol>>;<<C20H42O>>; MF: 577; RMF: 774; Prob: -1.00; CAS:629-96-9; Mw: 298; Lib: <<replib>>; Id: 2509; RI: 2282.
Hit 15 : <<9-Hexacosene>>;<<C26H52>>; MF: 573; RMF: 774; Prob: -1.00; CAS:71502-22-2; Mw: 364; Lib: <<mainlib>>; Id: 11738; RI: 0.
Hit 16 : <<2-Tetradecanol>>;<<C14H30O>>; MF: 528; RMF: 773; Prob: -1.00; CAS:4706-81-4; Mw: 214; Lib: <<replib>>; Id: 4932; RI: 1575.
Hit 17 : <<Carbonic acid, allyl octadecyl ester>>;<<C22H42O3>>; MF: 604; RMF: 771; Prob: -1.00; CAS:0; Mw: 354; Lib: <<mainlib>>; Id: 94695; RI: 0.
Hit 18 : <<1-Docosene>>;<<C22H44>>; MF: 574; RMF: 771; Prob: -1.00; CAS:1599-67-3; Mw: 308; Lib: <<replib>>; Id: 5934; RI: 2194.
Hit 19 : <<1-Nonadecene>>;<<C19H38>>; MF: 562; RMF: 771; Prob: -1.00; CAS:18435-45-5; Mw: 266; Lib: <<replib>>; Id: 1052; RI: 1893.
Hit 20 : <<Carbonic acid, allyl pentadecyl ester>>;<<C19H36O3>>; MF: 595; RMF: 769; Prob: -1.00; CAS:0; Mw: 312; Lib: <<mainlib>>; Id: 3493; RI: 0.
Hit 21 : <<8-Heptadecene>>;<<C17H34>>; MF: 545; RMF: 766; Prob: -1.00; CAS:2579-04-6; Mw: 238; Lib: <<mainlib>>; Id: 22142; RI: 1675.
Hit 22 : <<Sulfurous acid, octadecyl 2-propyl ester>>;<<C21H44O3S>>; MF: 562; RMF: 765; Prob: -1.00; CAS:0; Mw: 376; Lib: <<mainlib>>; Id: 8613; RI: 0.
Hit 23 : <<2-Methyl-E-7-octadecene>>;<<C19H38>>; MF: 537; RMF: 763; Prob: -1.00; CAS:0; Mw: 266; Lib: <<mainlib>>; Id: 27806; RI: 0.
Hit 24 : <<Oxalic acid, allyl tetradecyl ester>>;<<C19H34O4>>; MF: 561; RMF: 760; Prob: -1.00; CAS:0; Mw: 326; Lib: <<mainlib>>; Id: 3436; RI: 0.
Hit 25 : <<Cyclohexanecarboxylic acid, 4-heptyl-, 4-fluorophenyl ester>>;<<C20H29FO2>>; MF: 521; RMF: 759; Prob: -1.00; CAS:79912-85-9; Mw: 320; Lib: <<mainlib>>; Id: 87368; RI: 0.
Hit 26 : <<2-Piperidinone, N-[4-bromo-n-butyl]->>;<<C9H16BrNO>>; MF: 579; RMF: 758; Prob: -1.00; CAS:195194-80-0; Mw: 233; Lib: <<mainlib>>; Id: 6697; RI: 0.
Hit 27 : <<Cyclohexanone, 3-butyl->>;<<C10H18O>>; MF: 465; RMF: 755; Prob: -1.00; CAS:39178-69-3; Mw: 154; Lib: <<replib>>; Id: 5662; RI: 0.
Hit 28 : <<Dichloroacetic acid, tetradecyl ester>>;<<C16H30Cl2O2>>; MF: 557; RMF: 753; Prob: -1.00; CAS:83005-02-1; Mw: 324; Lib: <<mainlib>>; Id: 8542; RI: 0.
Hit 29 : <<Carbonic acid, allyl hexadecyl ester>>;<<C20H38O3>>; MF: 591; RMF: 752; Prob: -1.00; CAS:0; Mw: 326; Lib: <<mainlib>>; Id: 4330; RI: 0.
Hit 30 : <<10-Nonadecanol>>;<<C19H40O>>; MF: 517; RMF: 752; Prob: -1.00; CAS:16840-84-9; Mw: 284; Lib: <<mainlib>>; Id: 64864; RI: 0.
Hit 31 : <<Hexadecanoic acid, 2-hydroxy-, methyl ester>>;<<C17H34O3>>; MF: 645; RMF: 749; Prob: -1.00; CAS:16742-51-1; Mw: 286; Lib: <<mainlib>>; Id: 8599; RI: 2047.
Hit 32 : <<Hexadecane, 1-(ethenyloxy)->>;<<C18H36O>>; MF: 577; RMF: 749; Prob: -1.00; CAS:822-28-6; Mw: 268; Lib: <<mainlib>>; Id: 27745; RI: 0.
