Unknown: UnknownID=0|RT=38.325|RI=2744.1                             Compound in Library Factor = N/A
Hit 1  : <<Benzene, propoxy->>;<<C9H12O>>; MF: 752; RMF: 809; Prob: -1.00; CAS:622-85-5; Mw: 136; Lib: <<replib>>; Id: 17819; RI: 0.
Hit 2  : <<N-Vinylimidazole>>;<<C5H6N2>>; MF: 762; RMF: 800; Prob: -1.00; CAS:1072-63-5; Mw: 94; Lib: <<replib>>; Id: 17716; RI: 0.
Hit 3  : <<8-Azabicyclo[3.2.1]oct-6-en-3-ol, 8-methyl-, endo->>;<<C8H13NO>>; MF: 751; RMF: 784; Prob: -1.00; CAS:20513-09-1; Mw: 139; Lib: <<mainlib>>; Id: 83433; RI: 1290.
Hit 4  : <<Allophanic acid, phenyl ester>>;<<C8H8N2O3>>; MF: 726; RMF: 764; Prob: -1.00; CAS:49615-54-5; Mw: 180; Lib: <<mainlib>>; Id: 83473; RI: 0.
Hit 5  : <<Carbonic acid, butyl phenyl ester>>;<<C11H14O3>>; MF: 715; RMF: 764; Prob: -1.00; CAS:4824-76-4; Mw: 194; Lib: <<replib>>; Id: 17719; RI: 1447.
Hit 6  : <<1-[(1H-Pyrrol-2-ylcarbonyl)oxy]-2,5-pyrrolidinedione>>;<<C9H8N2O4>>; MF: 728; RMF: 761; Prob: -1.00; CAS:90471-24-2; Mw: 208; Lib: <<mainlib>>; Id: 83521; RI: 0.
Hit 7  : <<Benzene, (1,1-dimethylethoxy)->>;<<C10H14O>>; MF: 719; RMF: 754; Prob: -1.00; CAS:6669-13-2; Mw: 150; Lib: <<replib>>; Id: 17708; RI: 1074.
Hit 8  : <<Bromonitromethane>>;<<CH2BrNO2>>; MF:  97; RMF: 751; Prob: -1.00; CAS:563-70-2; Mw: 139; Lib: <<mainlib>>; Id: 82613; RI: 0.
Hit 9  : <<Benzene, (1-methylpropoxy)->>;<<C10H14O>>; MF: 704; RMF: 741; Prob: -1.00; CAS:10574-17-1; Mw: 150; Lib: <<replib>>; Id: 17821; RI: 0.
Hit 10 : <<Pyrimidine, 5-methyl->>;<<C5H6N2>>; MF: 695; RMF: 730; Prob: -1.00; CAS:2036-41-1; Mw: 94; Lib: <<mainlib>>; Id: 83527; RI: 0.
Hit 11 : <<Carbonic acid, octyl phenyl ester>>;<<C15H22O3>>; MF: 677; RMF: 730; Prob: -1.00; CAS:0; Mw: 250; Lib: <<mainlib>>; Id: 83501; RI: 0.
Hit 12 : <<Carbonic acid, pentyl phenyl ester>>;<<C12H16O3>>; MF: 691; RMF: 729; Prob: -1.00; CAS:0; Mw: 208; Lib: <<mainlib>>; Id: 83453; RI: 0.
Hit 13 : <<Carbonic acid, phenyl propyl ester>>;<<C10H12O3>>; MF: 691; RMF: 728; Prob: -1.00; CAS:13183-16-9; Mw: 180; Lib: <<mainlib>>; Id: 83592; RI: 0.
Hit 14 : <<Carbonic acid, isohexyl phenyl ester>>;<<C13H18O3>>; MF: 689; RMF: 727; Prob: -1.00; CAS:0; Mw: 222; Lib: <<mainlib>>; Id: 83439; RI: 0.
