Unknown: MSHub_GCMS_apolar_to_NIST.mgf file offset = 00000000        Compound in Library Factor = N/A
Hit 1  : <<3,3-Dimethylbutylamine>>;<<C6H15N>>; MF: 498; RMF: 819; Prob: -1.00; CAS:15673-00-4; Mw: 101; Lib: <<mainlib>>; Id: 1063; RI: 0.
Hit 2  : <<Propane-1,1-diol diacetate>>;<<C7H12O4>>; MF: 683; RMF: 787; Prob: -1.00; CAS:33931-80-5; Mw: 160; Lib: <<replib>>; Id: 3703; RI: 0.
Hit 3  : <<1-Methyl-3-pyrrolidinol>>;<<C5H11NO>>; MF: 472; RMF: 761; Prob: -1.00; CAS:13220-33-2; Mw: 101; Lib: <<replib>>; Id: 7239; RI: 851.
Hit 4  : <<3,4,5-Trimethyl-4-heptanol>>;<<C10H22O>>; MF: 451; RMF: 757; Prob: -1.00; CAS:60836-08-0; Mw: 158; Lib: <<mainlib>>; Id: 91998; RI: 0.
Hit 5  : <<1,3-Dioxolane-4-methanol, 2-ethyl->>;<<C6H12O3>>; MF: 698; RMF: 754; Prob: -1.00; CAS:53951-44-3; Mw: 132; Lib: <<mainlib>>; Id: 30318; RI: 0.
Hit 6  : <<Propanamide, N-ethyl->>;<<C5H11NO>>; MF: 438; RMF: 750; Prob: -1.00; CAS:5129-72-6; Mw: 101; Lib: <<replib>>; Id: 225; RI: 0.
Hit 7  : <<Propanamide, 2,2-dimethyl->>;<<C5H11NO>>; MF: 489; RMF: 737; Prob: -1.00; CAS:754-10-9; Mw: 101; Lib: <<replib>>; Id: 1292; RI: 0.
Hit 8  : <<Orthoformic acid, tri-sec-butyl ester>>;<<C13H28O3>>; MF: 560; RMF: 732; Prob: -1.00; CAS:16754-48-6; Mw: 232; Lib: <<mainlib>>; Id: 30319; RI: 0.
Hit 9  : <<Ethane-1,1-diol dipropanoate>>;<<C8H14O4>>; MF: 368; RMF: 718; Prob: -1.00; CAS:26880-30-8; Mw: 174; Lib: <<mainlib>>; Id: 30254; RI: 0.
Hit 10 : <<Butanamide, 2-hydroxy-N,2,3,3-tetramethyl->>;<<C8H17NO2>>; MF: 679; RMF: 717; Prob: -1.00; CAS:87920-05-6; Mw: 159; Lib: <<mainlib>>; Id: 91846; RI: 0.
Hit 11 : <<2-Hexen-1-ol, propanoate, (E)->>;<<C9H16O2>>; MF: 359; RMF: 707; Prob: -1.00; CAS:53398-80-4; Mw: 156; Lib: <<replib>>; Id: 6961; RI: 1111.
Hit 12 : <<2-Propanamine, N-methyl-N-nitro->>;<<C4H10N2O2>>; MF: 546; RMF: 703; Prob: -1.00; CAS:30893-20-0; Mw: 118; Lib: <<mainlib>>; Id: 94772; RI: 0.
Hit 13 : <<Propanamide, N,N-dimethyl->>;<<C5H11NO>>; MF: 436; RMF: 700; Prob: -1.00; CAS:758-96-3; Mw: 101; Lib: <<mainlib>>; Id: 92535; RI: 0.
Hit 14 : <<Isobutyl propane-1,3-diyl dicarbonate>>;<<C13H24O6>>; MF: 570; RMF: 696; Prob: -1.00; CAS:0; Mw: 276; Lib: <<mainlib>>; Id: 94769; RI: 1727.
Hit 15 : <<Nitrous acid, cyclohexyl ester>>;<<C6H11NO2>>; MF: 357; RMF: 688; Prob: -1.00; CAS:5156-40-1; Mw: 129; Lib: <<mainlib>>; Id: 26668; RI: 0.
Hit 16 : <<Cyclopentanol, 2-chloro-, trans->>;<<C5H9ClO>>; MF: 205; RMF: 687; Prob: -1.00; CAS:20377-80-4; Mw: 120; Lib: <<mainlib>>; Id: 27145; RI: 0.
Hit 17 : <<1-Penten-3-ol, 4-methyl->>;<<C6H12O>>; MF: 359; RMF: 683; Prob: -1.00; CAS:4798-45-2; Mw: 100; Lib: <<replib>>; Id: 7173; RI: 704.
Hit 18 : <<1,3-Dioxane, 2-ethyl-5-methyl->>;<<C7H14O2>>; MF: 430; RMF: 681; Prob: -1.00; CAS:20627-54-7; Mw: 130; Lib: <<mainlib>>; Id: 92048; RI: 0.
