Unknown: MSHub_GCMS_polar_to_NIST.mgf file offset = 00000000         Compound in Library Factor = N/A
Hit 1  : <<Thiophene, tetrahydro-, 1,1-dioxide>>;<<C4H8O2S>>; MF: 392; RMF: 688; Prob: -1.00; CAS:126-33-0; Mw: 120; Lib: <<mainlib>>; Id: 3383; RI: 1225.
Hit 2  : <<Azetidine, 1,3,3-trimethyl-2-phenyl->>;<<C12H17N>>; MF: 301; RMF: 647; Prob: -1.00; CAS:15451-12-4; Mw: 175; Lib: <<mainlib>>; Id: 120938; RI: 0.
Hit 3  : <<4H-Thiopyran-4-one, tetrahydro-, 3-methyl-2-phenyl->>;<<C12H14OS>>; MF: 386; RMF: 646; Prob: -1.00; CAS:0; Mw: 206; Lib: <<mainlib>>; Id: 121290; RI: 0.
Hit 4  : <<Methyl dichlorophosphate>>;<<CH3Cl2O2P>>; MF: 374; RMF: 645; Prob: -1.00; CAS:677-24-7; Mw: 148; Lib: <<replib>>; Id: 23136; RI: 0.
Hit 5  : <<1H-Isoindole, 2,3-dihydro->>;<<C8H9N>>; MF: 367; RMF: 639; Prob: -1.00; CAS:496-12-8; Mw: 119; Lib: <<mainlib>>; Id: 120998; RI: 0.
Hit 6  : <<Manganese, tricarbonyl(ü5-2,4-cyclopentadien-1-yl)->>;<<C8H5MnO3>>; MF: 121; RMF: 639; Prob: -1.00; CAS:12079-65-1; Mw: 204; Lib: <<replib>>; Id: 6474; RI: 0.
Hit 7  : <<1-Methyl-1-(3-phenylpropyl)oxy-1-silacyclopentane>>;<<C14H22OSi>>; MF: 359; RMF: 638; Prob: -1.00; CAS:0; Mw: 234; Lib: <<mainlib>>; Id: 120503; RI: 0.
Hit 8  : <<5,6-Dicarbadecaborane(12)>>;<<C2H12B8>>; MF: 385; RMF: 635; Prob: -1.00; CAS:41655-26-9; Mw: 124; Lib: <<mainlib>>; Id: 123177; RI: 1175.
Hit 9  : <<1-Methyl-3,5,6-trimethyl-hexahydropyrimidin-2,4-dione, cis->>;<<C23H20N2O2>>; MF: 383; RMF: 629; Prob: -1.00; CAS:0; Mw: 356; Lib: <<mainlib>>; Id: 121038; RI: 0.
Hit 10 : <<Stannane, dibutyl->>;<<C8H20Sn>>; MF: 445; RMF: 627; Prob: -1.00; CAS:1002-53-5; Mw: 236; Lib: <<mainlib>>; Id: 125326; RI: 0.
Hit 11 : <<Phosphorochloridic acid, hexyl pentyl ester>>;<<C11H24ClO3P>>; MF: 266; RMF: 622; Prob: -1.00; CAS:0; Mw: 270; Lib: <<mainlib>>; Id: 119831; RI: 0.
Hit 12 : <<1,4,8-Metheno-1H-cyclopent[f]azulene, 3a,4,4a,7,7a,8,9,9a-octahydro->>;<<C14H16>>; MF: 309; RMF: 616; Prob: -1.00; CAS:22723-47-3; Mw: 184; Lib: <<mainlib>>; Id: 120654; RI: 0.
Hit 13 : <<Dimethylmalonic acid, ethyl 3-phenylpropyl ester>>;<<C16H22O4>>; MF: 317; RMF: 604; Prob: -1.00; CAS:0; Mw: 278; Lib: <<mainlib>>; Id: 120743; RI: 1858.
Hit 14 : <<4H-Thiopyran-4-one, tetrahydro-, 3,5-dimethyl-2-phenyl->>;<<C13H16OS>>; MF: 354; RMF: 603; Prob: -1.00; CAS:0; Mw: 220; Lib: <<mainlib>>; Id: 120930; RI: 0.
Hit 15 : <<4H-Thiopyran-4-one, tetrahydro-, 1,1-dioxide>>;<<C5H8O3S>>; MF: 313; RMF: 593; Prob: -1.00; CAS:17396-35-9; Mw: 148; Lib: <<mainlib>>; Id: 25227; RI: 0.
Hit 16 : <<Butanoic acid, 3-methyl-, 3-phenylpropyl ester>>;<<C14H20O2>>; MF: 332; RMF: 590; Prob: -1.00; CAS:5452-07-3; Mw: 220; Lib: <<replib>>; Id: 23143; RI: 1613.
Hit 17 : <<Phosphorochloridic acid, hexyl propyl ester>>;<<C9H20ClO3P>>; MF: 311; RMF: 589; Prob: -1.00; CAS:0; Mw: 242; Lib: <<mainlib>>; Id: 119862; RI: 0.
Hit 18 : <<Diglycolic acid, di(3-phenylpropyl) ester>>;<<C22H26O5>>; MF: 274; RMF: 589; Prob: -1.00; CAS:0; Mw: 370; Lib: <<mainlib>>; Id: 120790; RI: 0.
Hit 19 : <<3,5-Methano-2,3,4,5(1H)-tetrahydrobenzo(c)azepine-1-one>>;<<C11H11NO>>; MF: 285; RMF: 584; Prob: -1.00; CAS:94641-48-2; Mw: 173; Lib: <<mainlib>>; Id: 121233; RI: 0.
Hit 20 : <<1H-Pyrrolizine, 2,3-dihydro-1-methoxy-7-(methoxymethyl)->>;<<C10H15NO2>>; MF: 305; RMF: 576; Prob: -1.00; CAS:28333-17-7; Mw: 181; Lib: <<mainlib>>; Id: 174695; RI: 0.
Hit 21 : <<Dasycarpidol>>;<<C17H22N2O>>; MF: 510; RMF: 575; Prob: -1.00; CAS:2744-46-9; Mw: 270; Lib: <<mainlib>>; Id: 121036; RI: 0.
Hit 22 : <<Decaborane(14)>>;<<B10H14>>; MF: 377; RMF: 574; Prob: -1.00; CAS:17702-41-9; Mw: 124; Lib: <<mainlib>>; Id: 125262; RI: 0.
Hit 23 : <<1-Methyl-3,5,6-triphenyl-hexahydropyrimidin-2,4-dione, trans->>;<<C23H20N2O2>>; MF: 336; RMF: 571; Prob: -1.00; CAS:0; Mw: 356; Lib: <<mainlib>>; Id: 121039; RI: 0.
Hit 24 : <<1,2-Cyclohexanedicarboxylic acid, di(3-phenylpropyl) ester>>;<<C26H32O4>>; MF: 282; RMF: 570; Prob: -1.00; CAS:0; Mw: 408; Lib: <<mainlib>>; Id: 120512; RI: 3258.
Hit 25 : <<Furan, 2,5-diphenyl-tetrahydro->>;<<C16H16O>>; MF: 401; RMF: 569; Prob: -1.00; CAS:51751-09-8; Mw: 224; Lib: <<mainlib>>; Id: 120871; RI: 0.
Hit 26 : <<Piperazin-1,4-diium, 1,4-di(2-chloroethyl)-1,4-dimethyl-, dichloride>>;<<C10H22Cl4N2>>; MF: 324; RMF: 567; Prob: -1.00; CAS:0; Mw: 310; Lib: <<mainlib>>; Id: 21026; RI: 0.
Hit 27 : <<1,1,3,3-Tetramethyldisilazane>>;<<C4H15NSi2>>; MF: 339; RMF: 566; Prob: -1.00; CAS:15933-59-2; Mw: 133; Lib: <<replib>>; Id: 23188; RI: 0.
Hit 28 : <<Isopropylphosphonic dichloride>>;<<C3H7Cl2OP>>; MF: 318; RMF: 565; Prob: -1.00; CAS:1498-46-0; Mw: 160; Lib: <<replib>>; Id: 2140; RI: 1004.
Hit 29 : <<Pimelic acid, dodecyl 3-phenylpropyl ester>>;<<C28H46O4>>; MF: 363; RMF: 564; Prob: -1.00; CAS:0; Mw: 446; Lib: <<mainlib>>; Id: 120823; RI: 3285.
Hit 30 : <<Diethylmalonic acid, pentyl 3-phenylpropyl ester>>;<<C21H32O4>>; MF: 353; RMF: 562; Prob: -1.00; CAS:0; Mw: 348; Lib: <<mainlib>>; Id: 120770; RI: 2310.
Hit 31 : <<Pyridine, 3-(1-methyl-2-pyrrolidinyl)-, N-oxide, (2S)->>;<<C10H14N2O>>; MF: 319; RMF: 562; Prob: -1.00; CAS:491-26-9; Mw: 178; Lib: <<mainlib>>; Id: 36032; RI: 0.
Hit 32 : <<20-Norcrotalanan-11,15-dione, 3,8-didehydro-14,19-dihydro-12,13-dihydroxy-, (13à,14à)->>;<<C16H21NO6>>; MF: 365; RMF: 561; Prob: -1.00; CAS:23291-96-5; Mw: 323; Lib: <<mainlib>>; Id: 123136; RI: 0.
Hit 33 : <<2-Propenoic acid, 3-phenylpropyl ester>>;<<C12H14O2>>; MF: 356; RMF: 561; Prob: -1.00; CAS:85909-41-7; Mw: 190; Lib: <<mainlib>>; Id: 120848; RI: 0.
Hit 34 : <<Diethylmalonic acid, decyl 3-phenylpropyl ester>>;<<C26H42O4>>; MF: 342; RMF: 560; Prob: -1.00; CAS:0; Mw: 418; Lib: <<mainlib>>; Id: 120897; RI: 2784.
Hit 35 : <<Azetidine, 3-methyl-3-phenyl->>;<<C10H13N>>; MF: 296; RMF: 559; Prob: -1.00; CAS:5961-33-1; Mw: 147; Lib: <<mainlib>>; Id: 120870; RI: 1033.
Hit 36 : <<Succinic acid, heptyl 3-phenylpropyl ester>>;<<C20H30O4>>; MF: 322; RMF: 558; Prob: -1.00; CAS:0; Mw: 334; Lib: <<mainlib>>; Id: 120717; RI: 0.
Hit 37 : <<1-vinyl-4,5,6,7-tetrahydro-1H-pyrrolo[3,2-c]pyridine>>;<<C9H12N2>>; MF: 348; RMF: 557; Prob: -1.00; CAS:0; Mw: 148; Lib: <<mainlib>>; Id: 121006; RI: 0.
Hit 38 : <<Succinic acid, hexyl 3-phenylpropyl ester>>;<<C19H28O4>>; MF: 322; RMF: 557; Prob: -1.00; CAS:0; Mw: 320; Lib: <<mainlib>>; Id: 120716; RI: 0.
Hit 39 : <<Glutaric acid, pentyl 3-phenylpropyl ester>>;<<C19H28O4>>; MF: 303; RMF: 557; Prob: -1.00; CAS:0; Mw: 320; Lib: <<mainlib>>; Id: 120738; RI: 2439.
Hit 40 : <<Benzoic acid, 2,5-dimethyl-, (2,5-dimethylphenyl)methyl ester>>;<<C18H20O2>>; MF: 458; RMF: 556; Prob: -1.00; CAS:55000-49-2; Mw: 268; Lib: <<mainlib>>; Id: 121002; RI: 0.
Hit 41 : <<Succinic acid, 3-phenylpropyl propyl ester>>;<<C16H22O4>>; MF: 328; RMF: 556; Prob: -1.00; CAS:0; Mw: 278; Lib: <<mainlib>>; Id: 120713; RI: 0.
Hit 42 : <<Spiro[bicyclo[2.2.1]hept-5-ene-2,2'-[1,3]dithiolane]>>;<<C9H12S2>>; MF: 324; RMF: 555; Prob: -1.00; CAS:98816-45-6; Mw: 184; Lib: <<mainlib>>; Id: 120427; RI: 0.
Hit 43 : <<Pimelic acid, heptyl 3-phenylpropyl ester>>;<<C23H36O4>>; MF: 344; RMF: 554; Prob: -1.00; CAS:0; Mw: 376; Lib: <<mainlib>>; Id: 120818; RI: 2783.
Hit 44 : <<Succinic acid, nonyl 3-phenylpropyl ester>>;<<C22H34O4>>; MF: 334; RMF: 554; Prob: -1.00; CAS:0; Mw: 362; Lib: <<mainlib>>; Id: 120878; RI: 0.
Hit 45 : <<Succinic acid, isobutyl 3-phenylpropyl ester>>;<<C17H24O4>>; MF: 332; RMF: 554; Prob: -1.00; CAS:0; Mw: 292; Lib: <<mainlib>>; Id: 120876; RI: 0.
Hit 46 : <<Benzoic acid, 3,5-dimethyl-, (2,4-dimethylphenyl)methyl ester>>;<<C18H20O2>>; MF: 447; RMF: 552; Prob: -1.00; CAS:55000-46-9; Mw: 268; Lib: <<mainlib>>; Id: 121001; RI: 0.
Hit 47 : <<Benzene, (1-azido-1-methylethyl)->>;<<C9H11N3>>; MF: 357; RMF: 552; Prob: -1.00; CAS:32366-26-0; Mw: 161; Lib: <<mainlib>>; Id: 123149; RI: 0.
Hit 48 : <<Alanine, 3-anthraniloyl-, methyl ester, dl->>;<<C11H14N2O3>>; MF: 293; RMF: 552; Prob: -1.00; CAS:15109-34-9; Mw: 222; Lib: <<mainlib>>; Id: 125534; RI: 0.
Hit 49 : <<6-Azaspiro[2.5]octa-4,7-diene-6-carboxylic acid, 2,2-dimethyl-, ethyl ester>>;<<C12H17NO2>>; MF: 404; RMF: 551; Prob: -1.00; CAS:34995-40-9; Mw: 207; Lib: <<mainlib>>; Id: 6220; RI: 0.
Hit 50 : <<5H-1-Pyrindine, 6,7-dihydro->>;<<C8H9N>>; MF: 337; RMF: 550; Prob: -1.00; CAS:533-37-9; Mw: 119; Lib: <<mainlib>>; Id: 120983; RI: 0.
Hit 51 : <<Succinic acid, isohexyl 3-phenylpropyl ester>>;<<C19H28O4>>; MF: 331; RMF: 550; Prob: -1.00; CAS:0; Mw: 320; Lib: <<mainlib>>; Id: 120877; RI: 0.
Hit 52 : <<1H-Indole, 2,3-dihydro->>;<<C8H9N>>; MF: 354; RMF: 549; Prob: -1.00; CAS:496-15-1; Mw: 119; Lib: <<replib>>; Id: 23176; RI: 1196.
Hit 53 : <<Succinic acid, octyl 3-phenylpropyl ester>>;<<C21H32O4>>; MF: 315; RMF: 548; Prob: -1.00; CAS:0; Mw: 348; Lib: <<mainlib>>; Id: 120718; RI: 0.
Hit 54 : <<Succinic acid, butyl 3-phenylpropyl ester>>;<<C17H24O4>>; MF: 318; RMF: 547; Prob: -1.00; CAS:0; Mw: 292; Lib: <<mainlib>>; Id: 120714; RI: 0.
Hit 55 : <<1-Propyne, 3-bromo->>;<<C3H3Br>>; MF: 259; RMF: 547; Prob: -1.00; CAS:106-96-7; Mw: 118; Lib: <<mainlib>>; Id: 2235; RI: 0.
