Unknown: MZmine_GCMS_apolar_49-54min_to_NIST.mgf file offset = 00000000Compound in Library Factor = N/A
Hit 1  : <<2-Propanone, 1,1,3,3-tetrachloro->>;<<C3H2Cl4O>>; MF: 755; RMF: 863; Prob: -1.00; CAS:632-21-3; Mw: 194; Lib: <<replib>>; Id: 14935; RI: 0.
Hit 2  : <<Methane, bromodichloro->>;<<CHBrCl2>>; MF: 431; RMF: 741; Prob: -1.00; CAS:75-27-4; Mw: 162; Lib: <<replib>>; Id: 14922; RI: 706.
Hit 3  : <<Dichloroacetic anhydride>>;<<C4H2Cl4O3>>; MF: 653; RMF: 727; Prob: -1.00; CAS:4124-30-5; Mw: 238; Lib: <<mainlib>>; Id: 65631; RI: 0.
Hit 4  : <<Diethyldivinylsilane>>;<<C8H16Si>>; MF: 498; RMF: 621; Prob: -1.00; CAS:18270-16-1; Mw: 140; Lib: <<mainlib>>; Id: 65864; RI: 0.
Hit 5  : <<Cyclohexanecarboxylic acid, 4-cyanophenyl ester>>;<<C14H15NO2>>; MF: 357; RMF: 595; Prob: -1.00; CAS:0; Mw: 229; Lib: <<mainlib>>; Id: 65842; RI: 1896.
Hit 6  : <<Acetic acid, dichloro-, propyl ester>>;<<C5H8Cl2O2>>; MF: 492; RMF: 575; Prob: -1.00; CAS:37587-81-8; Mw: 170; Lib: <<mainlib>>; Id: 6398; RI: 0.
Hit 7  : <<Acetyl chloride, dichloro->>;<<C2HCl3O>>; MF: 509; RMF: 567; Prob: -1.00; CAS:79-36-7; Mw: 146; Lib: <<replib>>; Id: 14929; RI: 0.
Hit 8  : <<2-Thiophenecarboxylic acid, 4-nitrophenyl ester>>;<<C11H7NO4S>>; MF: 335; RMF: 551; Prob: -1.00; CAS:0; Mw: 249; Lib: <<mainlib>>; Id: 109275; RI: 2088.
Hit 9  : <<Acetic acid, dichloro-, ethyl ester>>;<<C4H6Cl2O2>>; MF: 480; RMF: 535; Prob: -1.00; CAS:535-15-9; Mw: 156; Lib: <<mainlib>>; Id: 443; RI: 0.
Hit 10 : <<3-Hydroxy-4,5(R)-dimethyl-2(5H)-furanone>>;<<C6H8O3>>; MF: 419; RMF: 535; Prob: -1.00; CAS:87068-70-0; Mw: 128; Lib: <<mainlib>>; Id: 64624; RI: 0.
Hit 11 : <<Ether, chloromethyl dichloromethyl>>;<<C2H3Cl3O>>; MF: 310; RMF: 519; Prob: -1.00; CAS:2799-32-8; Mw: 148; Lib: <<mainlib>>; Id: 21010; RI: 0.
Hit 12 : <<2-Thiophenecarboxylic acid, 2,3-dichlorophenyl ester>>;<<C11H6Cl2O2S>>; MF: 307; RMF: 504; Prob: -1.00; CAS:0; Mw: 272; Lib: <<mainlib>>; Id: 109278; RI: 0.
Hit 13 : <<Benzenamine, 2-fluoro->>;<<C6H6FN>>; MF: 429; RMF: 493; Prob: -1.00; CAS:348-54-9; Mw: 111; Lib: <<replib>>; Id: 22026; RI: 0.
Hit 14 : <<2-Thiophenecarboxylic acid, 3-fluorophenyl ester>>;<<C11H7FO2S>>; MF: 300; RMF: 493; Prob: -1.00; CAS:0; Mw: 222; Lib: <<mainlib>>; Id: 109971; RI: 0.
Hit 15 : <<1-[(2-Thienylcarbonyl)oxy]-2,5-pyrrolidinedione>>;<<C9H7NO4S>>; MF: 296; RMF: 486; Prob: -1.00; CAS:83039-60-5; Mw: 225; Lib: <<mainlib>>; Id: 108461; RI: 0.
Hit 16 : <<3-Nonen-5-one>>;<<C9H16O>>; MF: 328; RMF: 475; Prob: -1.00; CAS:82456-34-6; Mw: 140; Lib: <<mainlib>>; Id: 65043; RI: 1052.
Hit 17 : <<1,2-Benzenediol, o-(thiophene-2-carbonyl)->>;<<C11H8O3S>>; MF: 289; RMF: 474; Prob: -1.00; CAS:0; Mw: 220; Lib: <<mainlib>>; Id: 109962; RI: 0.
