Unknown: MZmine_GCMS_apolar_54-56min_to_NIST.mgf file offset = 00000000Compound in Library Factor = N/A
Hit 1  : <<2,3-Benzofurandione 2-monooxime>>;<<C8H5NO3>>; MF: 107; RMF: 663; Prob: -1.00; CAS:40701-27-7; Mw: 163; Lib: <<mainlib>>; Id: 189999; RI: 0.
Hit 2  : <<Pyrido[3,4-d]pyrimidine-2,4(1H,3H)-dione>>;<<C7H5N3O2>>; MF: 102; RMF: 635; Prob: -1.00; CAS:21038-67-5; Mw: 163; Lib: <<mainlib>>; Id: 190000; RI: 0.
Hit 3  : <<Pyrido[2,3-d]pyrimidine-2,4(1H,3H)-dione>>;<<C7H5N3O2>>; MF: 100; RMF: 620; Prob: -1.00; CAS:21038-66-4; Mw: 163; Lib: <<mainlib>>; Id: 189830; RI: 0.
Hit 4  : <<Glyoxylamide, N-phenyl->>;<<C9H9NO2>>; MF:  97; RMF: 602; Prob: -1.00; CAS:32331-52-5; Mw: 163; Lib: <<mainlib>>; Id: 189994; RI: 0.
Hit 5  : <<2-Amino-benzoic acid (2-hydroxy-benzylidene)-hydrazide>>;<<C14H13N3O2>>; MF: 118; RMF: 588; Prob: -1.00; CAS:28461-52-1; Mw: 255; Lib: <<mainlib>>; Id: 125857; RI: 0.
Hit 6  : <<Benzenamine, 4-butyl-2-methyl->>;<<C11H17N>>; MF:  95; RMF: 587; Prob: -1.00; CAS:72072-16-3; Mw: 163; Lib: <<mainlib>>; Id: 125636; RI: 0.
Hit 7  : <<4,4-Difluoropiperidine, N-acetyl->>;<<C7H11F2NO>>; MF:  94; RMF: 582; Prob: -1.00; CAS:1184958-95-9; Mw: 163; Lib: <<mainlib>>; Id: 124503; RI: 1156.
Hit 8  : <<1H-isoindole-1,3(2H)-dione, 5-hydroxy->>;<<C8H5NO3>>; MF:  93; RMF: 577; Prob: -1.00; CAS:0; Mw: 163; Lib: <<mainlib>>; Id: 189998; RI: 0.
Hit 9  : <<4-Amino-N-(3-pyridinyl)benzamide>>;<<C12H11N3O>>; MF:  90; RMF: 570; Prob: -1.00; CAS:13160-59-3; Mw: 213; Lib: <<mainlib>>; Id: 124955; RI: 2521.
Hit 10 : <<4-Pyridylamidoxime, N-heptafluorobutyryl->>;<<C10H6F7N3O2>>; MF: 146; RMF: 563; Prob: -1.00; CAS:0; Mw: 333; Lib: <<mainlib>>; Id: 288043; RI: 1149.
Hit 11 : <<4-[5-(2-Fluorophenyl)-1,3,4-oxadiazol-2-yl]aniline>>;<<C14H10FN3O>>; MF: 111; RMF: 552; Prob: -1.00; CAS:0; Mw: 255; Lib: <<mainlib>>; Id: 125859; RI: 0.
