Unknown: MZmine_GCMS_polar_38-50min_to_NIST.mgf file offset = 00000000Compound in Library Factor = N/A
Hit 1  : <<1H-Pyrrole, 2-methyl->>;<<C5H7N>>; MF: 644; RMF: 865; Prob: -1.00; CAS:636-41-9; Mw: 81; Lib: <<mainlib>>; Id: 61620; RI: 850.
Hit 2  : <<1H-Pyrrole, 3-methyl->>;<<C5H7N>>; MF: 638; RMF: 848; Prob: -1.00; CAS:616-43-3; Mw: 81; Lib: <<mainlib>>; Id: 61624; RI: 858.
Hit 3  : <<1H-Pyrrole, 1-methyl->>;<<C5H7N>>; MF: 638; RMF: 799; Prob: -1.00; CAS:96-54-8; Mw: 81; Lib: <<replib>>; Id: 14326; RI: 743.
Hit 4  : <<N-Methyl-7-azabicyclo(2,2,1)hept-2-ene>>;<<C7H11N>>; MF: 615; RMF: 747; Prob: -1.00; CAS:55590-26-6; Mw: 109; Lib: <<mainlib>>; Id: 2069; RI: 0.
Hit 5  : <<Cyclohexane, 1,3-dichloro-, cis->>;<<C6H10Cl2>>; MF: 547; RMF: 747; Prob: -1.00; CAS:24955-63-3; Mw: 152; Lib: <<mainlib>>; Id: 62497; RI: 0.
Hit 6  : <<1H-Pyrrole, 1-butyl->>;<<C8H13N>>; MF: 650; RMF: 712; Prob: -1.00; CAS:589-33-3; Mw: 123; Lib: <<mainlib>>; Id: 62539; RI: 0.
Hit 7  : <<Cyclohexane, 1,2-dichloro-, trans->>;<<C6H10Cl2>>; MF: 581; RMF: 704; Prob: -1.00; CAS:822-86-6; Mw: 152; Lib: <<replib>>; Id: 14335; RI: 0.
Hit 8  : <<1-Methylbicyclo[2.2.1]heptan-exo-2-ol>>;<<C8H14O>>; MF: 535; RMF: 695; Prob: -1.00; CAS:766-25-6; Mw: 126; Lib: <<mainlib>>; Id: 62861; RI: 0.
Hit 9  : <<Bi-2-cyclohexen-1-yl>>;<<C12H18>>; MF: 606; RMF: 694; Prob: -1.00; CAS:1541-20-4; Mw: 162; Lib: <<mainlib>>; Id: 62492; RI: 0.
Hit 10 : <<1,3-Methanopentalene, octahydro->>;<<C9H14>>; MF: 548; RMF: 680; Prob: -1.00; CAS:13913-22-9; Mw: 122; Lib: <<mainlib>>; Id: 60949; RI: 0.
Hit 11 : <<Cyclohexane, 1,2-dichloro-, cis->>;<<C6H10Cl2>>; MF: 559; RMF: 677; Prob: -1.00; CAS:10498-35-8; Mw: 152; Lib: <<mainlib>>; Id: 62488; RI: 0.
Hit 12 : <<Bicyclo[6.1.0]non-4-ene>>;<<C9H14>>; MF: 593; RMF: 676; Prob: -1.00; CAS:4729-13-9; Mw: 122; Lib: <<mainlib>>; Id: 61510; RI: 0.
Hit 13 : <<1H-Pyrrole, 1-ethyl->>;<<C6H9N>>; MF: 456; RMF: 675; Prob: -1.00; CAS:617-92-5; Mw: 95; Lib: <<replib>>; Id: 14129; RI: 821.
Hit 14 : <<1,5-Hexadiene, 2-methyl->>;<<C7H12>>; MF: 454; RMF: 670; Prob: -1.00; CAS:4049-81-4; Mw: 96; Lib: <<replib>>; Id: 14238; RI: 663.
Hit 15 : <<3-(1H-Pyrrol-3-yl)propionic acid, methyl ester>>;<<C8H11NO2>>; MF: 640; RMF: 665; Prob: -1.00; CAS:150985-69-6; Mw: 153; Lib: <<mainlib>>; Id: 61761; RI: 0.
Hit 16 : <<trans-1,3-Cyclohexanedicarbonitrile>>;<<C8H10N2>>; MF: 554; RMF: 663; Prob: -1.00; CAS:10339-99-8; Mw: 134; Lib: <<mainlib>>; Id: 21805; RI: 0.
Hit 17 : <<2-Hexyne, 4-methyl->>;<<C7H12>>; MF: 458; RMF: 660; Prob: -1.00; CAS:20198-49-6; Mw: 96; Lib: <<replib>>; Id: 14260; RI: 690.
Hit 18 : <<cis-1,3-Cyclohexanedicarbonitrile>>;<<C8H10N2>>; MF: 528; RMF: 653; Prob: -1.00; CAS:10340-01-9; Mw: 134; Lib: <<mainlib>>; Id: 21804; RI: 0.
Hit 19 : <<Cyclohexane, 1,2-dichloro->>;<<C6H10Cl2>>; MF: 551; RMF: 647; Prob: -1.00; CAS:1121-21-7; Mw: 152; Lib: <<replib>>; Id: 14122; RI: 0.
Hit 20 : <<Cyclohexene, 3-chloro->>;<<C6H9Cl>>; MF: 526; RMF: 645; Prob: -1.00; CAS:2441-97-6; Mw: 116; Lib: <<replib>>; Id: 14321; RI: 0.
Hit 21 : <<2-Cyclopenten-1-one, 3-ethyl->>;<<C7H10O>>; MF: 452; RMF: 645; Prob: -1.00; CAS:5682-69-9; Mw: 110; Lib: <<mainlib>>; Id: 62922; RI: 1052.
Hit 22 : <<trans-1,4-Cyclohexanediol, bis(trifluoroacetate)>>;<<C10H10F6O4>>; MF: 580; RMF: 637; Prob: -1.00; CAS:0; Mw: 308; Lib: <<mainlib>>; Id: 61644; RI: 0.
Hit 23 : <<3-Cyclohexenecarbonyl chloride>>;<<C7H9ClO>>; MF: 535; RMF: 637; Prob: -1.00; CAS:932-67-2; Mw: 144; Lib: <<mainlib>>; Id: 62510; RI: 0.
Hit 24 : <<Pyrazine>>;<<C4H4N2>>; MF: 459; RMF: 634; Prob: -1.00; CAS:290-37-9; Mw: 80; Lib: <<mainlib>>; Id: 61483; RI: 736.
Hit 25 : <<1,3-Diazine>>;<<C4H4N2>>; MF: 453; RMF: 624; Prob: -1.00; CAS:289-95-2; Mw: 80; Lib: <<replib>>; Id: 14091; RI: 0.
