Unknown: Rt: 49.6558 (Align ID: 1) @ 16-Hydroxyhexadecanoic acid (2TMS)Compound in Library Factor = N/A
Hit 1  : <<1-Hexyl-2-nitrocyclohexane>>;<<C12H23NO2>>; MF: 424; RMF: 898; Prob: -1.00; CAS:118252-04-3; Mw: 213; Lib: <<mainlib>>; Id: 23831; RI: 0.
Hit 2  : <<1-Hexyl-1-nitrocyclohexane>>;<<C12H23NO2>>; MF: 407; RMF: 862; Prob: -1.00; CAS:118252-09-8; Mw: 213; Lib: <<mainlib>>; Id: 23973; RI: 0.
Hit 3  : <<1-Tricosene>>;<<C23H46>>; MF: 657; RMF: 832; Prob: -1.00; CAS:18835-32-0; Mw: 322; Lib: <<replib>>; Id: 2525; RI: 2291.
Hit 4  : <<Hexadecanoic acid, 2-hydroxy-, methyl ester>>;<<C17H34O3>>; MF: 772; RMF: 818; Prob: -1.00; CAS:16742-51-1; Mw: 286; Lib: <<mainlib>>; Id: 8599; RI: 2047.
Hit 5  : <<1-Hexacosene>>;<<C26H52>>; MF: 684; RMF: 814; Prob: -1.00; CAS:18835-33-1; Mw: 364; Lib: <<replib>>; Id: 7333; RI: 2595.
Hit 6  : <<Tetradecanoic acid, 2-hydroxy-, methyl ester>>;<<C15H30O3>>; MF: 737; RMF: 813; Prob: -1.00; CAS:56009-40-6; Mw: 258; Lib: <<replib>>; Id: 7552; RI: 1833.
Hit 7  : <<1,7-Dimethyl-4-(1-methylethyl)cyclodecane>>;<<C15H30>>; MF: 647; RMF: 808; Prob: -1.00; CAS:645-10-3; Mw: 210; Lib: <<replib>>; Id: 6088; RI: 0.
Hit 8  : <<10-Heneicosene (c,t)>>;<<C21H42>>; MF: 656; RMF: 797; Prob: -1.00; CAS:95008-11-0; Mw: 294; Lib: <<mainlib>>; Id: 22720; RI: 0.
Hit 9  : <<Nonacos-1-ene>>;<<C29H58>>; MF: 683; RMF: 796; Prob: -1.00; CAS:18835-35-3; Mw: 406; Lib: <<mainlib>>; Id: 27766; RI: 2885.
Hit 10 : <<1-Tetracosene>>;<<C24H48>>; MF: 686; RMF: 795; Prob: -1.00; CAS:10192-32-2; Mw: 336; Lib: <<replib>>; Id: 2718; RI: 2394.
Hit 11 : <<Pentacos-1-ene>>;<<C25H50>>; MF: 662; RMF: 795; Prob: -1.00; CAS:16980-85-1; Mw: 350; Lib: <<mainlib>>; Id: 22772; RI: 2492.
