Unknown: Rt: 54.1566 (Align ID: 1) @ Phenoxyacetic acid              Compound in Library Factor = N/A
Hit 1  : <<1,2-Benzenediol, O-(2-methoxybenzoyl)-O'-(propargyloxycarbonyl)->>;<<C18H14O6>>; MF: 646; RMF: 937; Prob: -1.00; CAS:0; Mw: 326; Lib: <<mainlib>>; Id: 149585; RI: 0.
Hit 2  : <<2-Methoxybenzoic acid, 2,3-dichlorophenyl ester>>;<<C14H10Cl2O3>>; MF: 636; RMF: 934; Prob: -1.00; CAS:0; Mw: 296; Lib: <<mainlib>>; Id: 148312; RI: 0.
Hit 3  : <<1,2-Benzenediol, O-(2-methoxybenzoyl)-O'-(methoxycarbonyl)->>;<<C16H14O6>>; MF: 641; RMF: 931; Prob: -1.00; CAS:0; Mw: 302; Lib: <<mainlib>>; Id: 149584; RI: 0.
Hit 4  : <<2-Methoxybenzoic acid, 2-formyl-4,6-dichlorophenyl ester>>;<<C15H10Cl2O4>>; MF: 633; RMF: 929; Prob: -1.00; CAS:0; Mw: 324; Lib: <<mainlib>>; Id: 148313; RI: 0.
Hit 5  : <<2-Methoxybenzoic acid, 4-chloro-2-methylphenyl ester>>;<<C15H13ClO3>>; MF: 632; RMF: 927; Prob: -1.00; CAS:0; Mw: 276; Lib: <<mainlib>>; Id: 148310; RI: 0.
Hit 6  : <<1,3-Benzenediol, o-methoxycarbonyl-o'-(2-methoxybenzoyl)->>;<<C16H14O6>>; MF: 636; RMF: 925; Prob: -1.00; CAS:0; Mw: 302; Lib: <<mainlib>>; Id: 148306; RI: 0.
Hit 7  : <<1,2-Benzenediol, o-(4-methoxybezoyl)-o'-(5-chlorovaleryl)->>;<<C19H19ClO5>>; MF: 634; RMF: 925; Prob: -1.00; CAS:0; Mw: 362; Lib: <<mainlib>>; Id: 149582; RI: 0.
Hit 8  : <<2-Methoxybenzoic acid, 3-fluorophenyl ester>>;<<C14H11FO3>>; MF: 630; RMF: 922; Prob: -1.00; CAS:0; Mw: 246; Lib: <<mainlib>>; Id: 148308; RI: 0.
Hit 9  : <<1,2-Benzenediol, O-(2-methoxybenzoyl)->>;<<C14H12O4>>; MF: 633; RMF: 918; Prob: -1.00; CAS:0; Mw: 244; Lib: <<mainlib>>; Id: 148305; RI: 0.
Hit 10 : <<1,3-Benzenediol, o-(2-methoxybenzoyl)->>;<<C14H12O4>>; MF: 630; RMF: 914; Prob: -1.00; CAS:0; Mw: 244; Lib: <<mainlib>>; Id: 148307; RI: 0.
Hit 11 : <<1,2-Benzenediol, O,O'-di(2-methoxybenzoyl)->>;<<C22H18O6>>; MF: 627; RMF: 912; Prob: -1.00; CAS:0; Mw: 378; Lib: <<mainlib>>; Id: 149586; RI: 0.
