Unknown: Rt: 38.3396 (Align ID: 1) @ Dihydrolipoic acid (3TMS)       Compound in Library Factor = N/A
Hit 1  : <<Benzene, propoxy->>;<<C9H12O>>; MF: 807; RMF: 807; Prob: -1.00; CAS:622-85-5; Mw: 136; Lib: <<replib>>; Id: 17819; RI: 0.
Hit 2  : <<Benzene, (1,1-dimethylethoxy)->>;<<C10H14O>>; MF: 792; RMF: 792; Prob: -1.00; CAS:6669-13-2; Mw: 150; Lib: <<replib>>; Id: 17708; RI: 1074.
Hit 3  : <<Carbonic acid, nonyl phenyl ester>>;<<C16H24O3>>; MF: 774; RMF: 774; Prob: -1.00; CAS:0; Mw: 264; Lib: <<mainlib>>; Id: 83440; RI: 0.
Hit 4  : <<8-Azabicyclo[3.2.1]oct-6-en-3-ol, 8-methyl-, endo->>;<<C8H13NO>>; MF: 765; RMF: 765; Prob: -1.00; CAS:20513-09-1; Mw: 139; Lib: <<mainlib>>; Id: 83433; RI: 1290.
Hit 5  : <<Carbonic acid, pentyl phenyl ester>>;<<C12H16O3>>; MF: 763; RMF: 763; Prob: -1.00; CAS:0; Mw: 208; Lib: <<mainlib>>; Id: 83453; RI: 0.
Hit 6  : <<Carbonic acid, isohexyl phenyl ester>>;<<C13H18O3>>; MF: 761; RMF: 761; Prob: -1.00; CAS:0; Mw: 222; Lib: <<mainlib>>; Id: 83439; RI: 0.
Hit 7  : <<Carbonic acid, butyl phenyl ester>>;<<C11H14O3>>; MF: 760; RMF: 760; Prob: -1.00; CAS:4824-76-4; Mw: 194; Lib: <<replib>>; Id: 17719; RI: 1447.
Hit 8  : <<Allophanic acid, phenyl ester>>;<<C8H8N2O3>>; MF: 756; RMF: 756; Prob: -1.00; CAS:49615-54-5; Mw: 180; Lib: <<mainlib>>; Id: 83473; RI: 0.
Hit 9  : <<Benzene, (1-methylpropoxy)->>;<<C10H14O>>; MF: 756; RMF: 756; Prob: -1.00; CAS:10574-17-1; Mw: 150; Lib: <<replib>>; Id: 17821; RI: 0.
Hit 10 : <<N-Vinylimidazole>>;<<C5H6N2>>; MF: 754; RMF: 754; Prob: -1.00; CAS:1072-63-5; Mw: 94; Lib: <<replib>>; Id: 17716; RI: 0.
Hit 11 : <<Carbonic acid, pentadecyl phenyl ester>>;<<C22H36O3>>; MF: 749; RMF: 749; Prob: -1.00; CAS:0; Mw: 348; Lib: <<mainlib>>; Id: 83768; RI: 0.
Hit 12 : <<Carbonic acid, decyl phenyl ester>>;<<C17H26O3>>; MF: 744; RMF: 744; Prob: -1.00; CAS:0; Mw: 278; Lib: <<mainlib>>; Id: 83506; RI: 0.
Hit 13 : <<Carbonic acid, phenyl propyl ester>>;<<C10H12O3>>; MF: 744; RMF: 744; Prob: -1.00; CAS:13183-16-9; Mw: 180; Lib: <<mainlib>>; Id: 83592; RI: 0.
Hit 14 : <<2-(2-Aminoethyl)pyrazine;>>;<<C6H9N3>>; MF: 741; RMF: 741; Prob: -1.00; CAS:5321-59-5; Mw: 123; Lib: <<mainlib>>; Id: 83384; RI: 0.
Hit 15 : <<2-((Diethoxyphosphoryl)methyl)-5-methylpyrrole>>;<<C10H18NO3P>>; MF: 738; RMF: 738; Prob: -1.00; CAS:0; Mw: 231; Lib: <<mainlib>>; Id: 83801; RI: 0.
Hit 16 : <<Carbonic acid, heptyl phenyl ester>>;<<C14H20O3>>; MF: 734; RMF: 734; Prob: -1.00; CAS:0; Mw: 236; Lib: <<mainlib>>; Id: 83497; RI: 0.
Hit 17 : <<Carbonic acid, isobutyl phenyl ester>>;<<C11H14O3>>; MF: 730; RMF: 730; Prob: -1.00; CAS:13183-18-1; Mw: 194; Lib: <<mainlib>>; Id: 83500; RI: 1393.
Hit 18 : <<Octane, 4-phenoxy->>;<<C14H22O>>; MF: 729; RMF: 729; Prob: -1.00; CAS:0; Mw: 206; Lib: <<mainlib>>; Id: 83758; RI: 1464.
Hit 19 : <<Carbonic acid, octyl phenyl ester>>;<<C15H22O3>>; MF: 728; RMF: 728; Prob: -1.00; CAS:0; Mw: 250; Lib: <<mainlib>>; Id: 83501; RI: 0.
Hit 20 : <<Carbonic acid, phenyl tetradecyl ester>>;<<C21H34O3>>; MF: 727; RMF: 727; Prob: -1.00; CAS:0; Mw: 334; Lib: <<mainlib>>; Id: 83441; RI: 0.
Hit 21 : <<8-Azabicyclo[3.2.1]oct-6-en-3-one, 8-methyl->>;<<C8H11NO>>; MF: 726; RMF: 726; Prob: -1.00; CAS:4438-38-4; Mw: 137; Lib: <<mainlib>>; Id: 83761; RI: 0.
Hit 22 : <<Octane, 3-phenoxy->>;<<C14H22O>>; MF: 724; RMF: 724; Prob: -1.00; CAS:0; Mw: 206; Lib: <<mainlib>>; Id: 83759; RI: 1480.
Hit 23 : <<Carbonic acid, dodecyl phenyl ester>>;<<C19H30O3>>; MF: 712; RMF: 712; Prob: -1.00; CAS:0; Mw: 306; Lib: <<mainlib>>; Id: 83498; RI: 0.
Hit 24 : <<Amantadine>>;<<C10H17N>>; MF: 709; RMF: 709; Prob: -1.00; CAS:768-94-5; Mw: 151; Lib: <<replib>>; Id: 17889; RI: 1231.
Hit 25 : <<1-[(1H-Pyrrol-2-ylcarbonyl)oxy]-2,5-pyrrolidinedione>>;<<C9H8N2O4>>; MF: 707; RMF: 707; Prob: -1.00; CAS:90471-24-2; Mw: 208; Lib: <<mainlib>>; Id: 83521; RI: 0.
Hit 26 : <<Carbonic acid, phenyl tridecyl ester>>;<<C20H32O3>>; MF: 698; RMF: 698; Prob: -1.00; CAS:0; Mw: 320; Lib: <<mainlib>>; Id: 83507; RI: 0.
Hit 27 : <<Pyrimidine, 5-methyl->>;<<C5H6N2>>; MF: 694; RMF: 694; Prob: -1.00; CAS:2036-41-1; Mw: 94; Lib: <<mainlib>>; Id: 83527; RI: 0.
Hit 28 : <<Butanoic acid, 4-phenoxy->>;<<C10H12O3>>; MF: 694; RMF: 694; Prob: -1.00; CAS:6303-58-8; Mw: 180; Lib: <<replib>>; Id: 17803; RI: 0.
Hit 29 : <<8-Azabicyclo[3.2.1]oct-6-en-3-ol, 8-methyl->>;<<C8H13NO>>; MF: 692; RMF: 692; Prob: -1.00; CAS:54725-49-4; Mw: 139; Lib: <<mainlib>>; Id: 83434; RI: 0.
Hit 30 : <<Carbonic acid, phenyl undec-10-enyl ester>>;<<C18H26O3>>; MF: 691; RMF: 691; Prob: -1.00; CAS:0; Mw: 290; Lib: <<mainlib>>; Id: 83485; RI: 0.
Hit 31 : <<Acetic acid, bromo-, phenyl ester>>;<<C8H7BrO2>>; MF: 691; RMF: 691; Prob: -1.00; CAS:620-72-4; Mw: 214; Lib: <<mainlib>>; Id: 83392; RI: 0.
Hit 32 : <<Acetic acid, phenyl ester>>;<<C8H8O2>>; MF: 690; RMF: 690; Prob: -1.00; CAS:122-79-2; Mw: 136; Lib: <<replib>>; Id: 17735; RI: 1067.
Hit 33 : <<Carbonic acid, ethyl phenyl ester>>;<<C9H10O3>>; MF: 686; RMF: 686; Prob: -1.00; CAS:3878-46-4; Mw: 166; Lib: <<replib>>; Id: 17705; RI: 1233.
Hit 34 : <<Hexanamide, 2-butyl-2-hydroxy-N-(2-pyridyl)->>;<<C15H24N2O2>>; MF: 682; RMF: 682; Prob: -1.00; CAS:309725-49-3; Mw: 264; Lib: <<mainlib>>; Id: 83572; RI: 0.
Hit 35 : <<Phenol>>;<<C6H6O>>; MF: 682; RMF: 682; Prob: -1.00; CAS:108-95-2; Mw: 94; Lib: <<replib>>; Id: 17759; RI: 981.
Hit 36 : <<Ethanethiol, 2-phenoxy->>;<<C8H10OS>>; MF: 681; RMF: 681; Prob: -1.00; CAS:6338-63-2; Mw: 154; Lib: <<mainlib>>; Id: 83509; RI: 0.
Hit 37 : <<4-Aminopyridine>>;<<C5H6N2>>; MF: 676; RMF: 676; Prob: -1.00; CAS:504-24-5; Mw: 94; Lib: <<replib>>; Id: 17771; RI: 1158.
Hit 38 : <<1H-imidazole, 5-bicyclo[2.2.1]hept-5-en-2-yl->>;<<C10H12N2>>; MF: 675; RMF: 675; Prob: -1.00; CAS:0; Mw: 160; Lib: <<mainlib>>; Id: 83826; RI: 0.
Hit 39 : <<Carbonic acid, hexadecyl phenyl ester>>;<<C23H38O3>>; MF: 670; RMF: 670; Prob: -1.00; CAS:0; Mw: 362; Lib: <<mainlib>>; Id: 83504; RI: 0.
Hit 40 : <<3-Aminopyridine>>;<<C5H6N2>>; MF: 670; RMF: 670; Prob: -1.00; CAS:462-08-8; Mw: 94; Lib: <<replib>>; Id: 17767; RI: 1105.
Hit 41 : <<4-{[2-(2H-Pyrazol-3-yl)ethyl]carbamoyl}butanoic acid>>;<<C10H15N3O3>>; MF: 669; RMF: 669; Prob: -1.00; CAS:0; Mw: 225; Lib: <<mainlib>>; Id: 83382; RI: 0.
Hit 42 : <<2-Chloropropionic acid, phenyl ester>>;<<C9H9ClO2>>; MF: 666; RMF: 666; Prob: -1.00; CAS:0; Mw: 184; Lib: <<mainlib>>; Id: 84085; RI: 1287.
Hit 43 : <<sulfamide, N,N-dimethyl-N'-2-pyridinyl->>;<<C7H11N3O2S>>; MF: 665; RMF: 665; Prob: -1.00; CAS:0; Mw: 201; Lib: <<mainlib>>; Id: 83539; RI: 0.
Hit 44 : <<Benzene, (hexyloxy)->>;<<C12H18O>>; MF: 664; RMF: 664; Prob: -1.00; CAS:1132-66-7; Mw: 178; Lib: <<mainlib>>; Id: 84078; RI: 0.
Hit 45 : <<1H-Imidazole, 2-ethenyl->>;<<C5H6N2>>; MF: 664; RMF: 664; Prob: -1.00; CAS:43129-93-7; Mw: 94; Lib: <<mainlib>>; Id: 83408; RI: 0.
Hit 46 : <<Benzene, butoxy->>;<<C10H14O>>; MF: 663; RMF: 663; Prob: -1.00; CAS:1126-79-0; Mw: 150; Lib: <<mainlib>>; Id: 84029; RI: 0.
Hit 47 : <<4,5,6,7-Tetrahydro-2H-indazole>>;<<C7H10N2>>; MF: 662; RMF: 662; Prob: -1.00; CAS:15409-56-0; Mw: 122; Lib: <<mainlib>>; Id: 83929; RI: 1447.
Hit 48 : <<Benzene, (2-butenyloxy)->>;<<C10H12O>>; MF: 661; RMF: 661; Prob: -1.00; CAS:14503-58-3; Mw: 148; Lib: <<mainlib>>; Id: 83481; RI: 0.
Hit 49 : <<Benzene, (octyloxy)->>;<<C14H22O>>; MF: 661; RMF: 661; Prob: -1.00; CAS:1818-07-1; Mw: 206; Lib: <<mainlib>>; Id: 84112; RI: 0.
Hit 50 : <<Pyrimidine, 4-methyl->>;<<C5H6N2>>; MF: 657; RMF: 657; Prob: -1.00; CAS:3438-46-8; Mw: 94; Lib: <<replib>>; Id: 17742; RI: 853.
Hit 51 : <<Carbonic acid, neopentyl phenyl ester>>;<<C12H16O3>>; MF: 656; RMF: 656; Prob: -1.00; CAS:13183-19-2; Mw: 208; Lib: <<mainlib>>; Id: 83456; RI: 1431.
Hit 52 : <<Butanamide, 2-ethyl-2-hydroxy-N-(2-pyridyl)->>;<<C11H16N2O2>>; MF: 654; RMF: 654; Prob: -1.00; CAS:350700-00-4; Mw: 208; Lib: <<mainlib>>; Id: 83477; RI: 0.
Hit 53 : <<2-Isoamylpyrazine>>;<<C9H14N2>>; MF: 654; RMF: 654; Prob: -1.00; CAS:40790-22-5; Mw: 150; Lib: <<replib>>; Id: 17842; RI: 0.
Hit 54 : <<Pyrazine, methyl->>;<<C5H6N2>>; MF: 651; RMF: 651; Prob: -1.00; CAS:109-08-0; Mw: 94; Lib: <<mainlib>>; Id: 83542; RI: 829.
Hit 55 : <<N-ê-Acetylhistamine>>;<<C7H11N3O>>; MF: 650; RMF: 650; Prob: -1.00; CAS:673-49-4; Mw: 153; Lib: <<replib>>; Id: 17801; RI: 0.
Hit 56 : <<1-Propanol, 3-phenoxy->>;<<C9H12O2>>; MF: 649; RMF: 649; Prob: -1.00; CAS:6180-61-6; Mw: 152; Lib: <<mainlib>>; Id: 84041; RI: 0.
Hit 57 : <<Ethanol, 2-phenoxy->>;<<C8H10O2>>; MF: 649; RMF: 649; Prob: -1.00; CAS:122-99-6; Mw: 138; Lib: <<replib>>; Id: 17877; RI: 1225.
Hit 58 : <<4H-1,2,4-Triazole-3-carbonitrile>>;<<C3H2N4>>; MF: 648; RMF: 648; Prob: -1.00; CAS:3641-10-9; Mw: 94; Lib: <<mainlib>>; Id: 83538; RI: 1424.
Hit 59 : <<1-Pyrazinyl-4-methyl-2-pentanol>>;<<C10H16N2O>>; MF: 647; RMF: 647; Prob: -1.00; CAS:0; Mw: 180; Lib: <<mainlib>>; Id: 83950; RI: 0.
Hit 60 : <<Phenyl á-chloropropionate>>;<<C9H9ClO2>>; MF: 646; RMF: 646; Prob: -1.00; CAS:24552-27-0; Mw: 184; Lib: <<mainlib>>; Id: 83510; RI: 0.
Hit 61 : <<Heptanamide, 2-hydroxy-2-pentyl-N-(2-pyridyl)->>;<<C17H28N2O2>>; MF: 644; RMF: 644; Prob: -1.00; CAS:0; Mw: 292; Lib: <<mainlib>>; Id: 83438; RI: 0.
Hit 62 : <<5-Vinyl-pyrazole>>;<<C5H6N2>>; MF: 643; RMF: 643; Prob: -1.00; CAS:0; Mw: 94; Lib: <<mainlib>>; Id: 83729; RI: 0.
Hit 63 : <<Benzene, (1,2-dimethylpropoxy)->>;<<C11H16O>>; MF: 643; RMF: 643; Prob: -1.00; CAS:62338-26-5; Mw: 164; Lib: <<mainlib>>; Id: 83448; RI: 0.
Hit 64 : <<1-Phenoxypropan-2-ol>>;<<C9H12O2>>; MF: 642; RMF: 642; Prob: -1.00; CAS:770-35-4; Mw: 152; Lib: <<replib>>; Id: 17781; RI: 1251.
Hit 65 : <<Allophanic acid, butanoyl-, phenyl ester>>;<<C11H12N2O4>>; MF: 641; RMF: 641; Prob: -1.00; CAS:0; Mw: 236; Lib: <<mainlib>>; Id: 83495; RI: 0.
Hit 66 : <<butanedioic acid, monophenyl ester>>;<<C10H10O4>>; MF: 641; RMF: 641; Prob: -1.00; CAS:0; Mw: 194; Lib: <<mainlib>>; Id: 83386; RI: 0.
Hit 67 : <<3,4-DIMETHYL-1H-PYRROLE>>;<<C6H9N>>; MF: 638; RMF: 638; Prob: -1.00; CAS:822-51-5; Mw: 95; Lib: <<mainlib>>; Id: 83797; RI: 0.
Hit 68 : <<Carbamic acid, butylmethyl-, phenyl ester>>;<<C12H17NO2>>; MF: 637; RMF: 637; Prob: -1.00; CAS:54644-61-0; Mw: 207; Lib: <<mainlib>>; Id: 83515; RI: 0.
Hit 69 : <<Benzene, (2-methylpropoxy)->>;<<C10H14O>>; MF: 637; RMF: 637; Prob: -1.00; CAS:1126-75-6; Mw: 150; Lib: <<mainlib>>; Id: 83415; RI: 0.
Hit 70 : <<2-Vinylfuran>>;<<C6H6O>>; MF: 636; RMF: 636; Prob: -1.00; CAS:1487-18-9; Mw: 94; Lib: <<mainlib>>; Id: 83514; RI: 725.
Unknown: Rt: 38.6084 (Align ID: 2) @ 2'-Deoxyadenosine 5'-monophosphate (6TMS)Compound in Library Factor = N/A
Hit 1  : <<1H-Pyrrole, 3-methyl->>;<<C5H7N>>; MF: 648; RMF: 873; Prob: -1.00; CAS:616-43-3; Mw: 81; Lib: <<replib>>; Id: 14121; RI: 858.
Hit 2  : <<1H-Pyrrole, 2-methyl->>;<<C5H7N>>; MF: 642; RMF: 862; Prob: -1.00; CAS:636-41-9; Mw: 81; Lib: <<replib>>; Id: 14120; RI: 850.
Hit 3  : <<1H-Pyrrole, 1-methyl->>;<<C5H7N>>; MF: 630; RMF: 784; Prob: -1.00; CAS:96-54-8; Mw: 81; Lib: <<replib>>; Id: 14326; RI: 743.
Hit 4  : <<Cyclohexane, 1,3-dichloro-, cis->>;<<C6H10Cl2>>; MF: 552; RMF: 761; Prob: -1.00; CAS:24955-63-3; Mw: 152; Lib: <<mainlib>>; Id: 62497; RI: 0.
Hit 5  : <<1,5-Hexadiene, 2-methyl->>;<<C7H12>>; MF: 444; RMF: 708; Prob: -1.00; CAS:4049-81-4; Mw: 96; Lib: <<replib>>; Id: 14238; RI: 663.
Hit 6  : <<1H-Pyrrole, 1-butyl->>;<<C8H13N>>; MF: 610; RMF: 701; Prob: -1.00; CAS:589-33-3; Mw: 123; Lib: <<replib>>; Id: 14344; RI: 0.
Hit 7  : <<3-(1H-Pyrrol-3-yl)propionic acid, methyl ester>>;<<C8H11NO2>>; MF: 644; RMF: 698; Prob: -1.00; CAS:150985-69-6; Mw: 153; Lib: <<mainlib>>; Id: 61761; RI: 0.
Hit 8  : <<Oxirane, 3-[5-(4-azido-2-nitrophenoxy)-3-methyl-3-pentenyl]-2,2-dimethyl-, (E)-ñ->>;<<C16H20N4O4>>; MF: 458; RMF: 693; Prob: -1.00; CAS:106929-47-9; Mw: 332; Lib: <<mainlib>>; Id: 44683; RI: 0.
Hit 9  : <<1,3-Methanopentalene, octahydro->>;<<C9H14>>; MF: 507; RMF: 679; Prob: -1.00; CAS:13913-22-9; Mw: 122; Lib: <<mainlib>>; Id: 60949; RI: 0.
Hit 10 : <<Bi-2-cyclohexen-1-yl>>;<<C12H18>>; MF: 564; RMF: 677; Prob: -1.00; CAS:1541-20-4; Mw: 162; Lib: <<replib>>; Id: 14336; RI: 0.
Hit 11 : <<1-Methylbicyclo[2.2.1]heptan-exo-2-ol>>;<<C8H14O>>; MF: 510; RMF: 675; Prob: -1.00; CAS:766-25-6; Mw: 126; Lib: <<mainlib>>; Id: 62861; RI: 0.
Hit 12 : <<Pyrazine, methyl->>;<<C5H6N2>>; MF: 296; RMF: 674; Prob: -1.00; CAS:109-08-0; Mw: 94; Lib: <<replib>>; Id: 17765; RI: 829.
Hit 13 : <<N-Methyl-7-azabicyclo(2,2,1)hept-2-ene>>;<<C7H11N>>; MF: 503; RMF: 660; Prob: -1.00; CAS:55590-26-6; Mw: 109; Lib: <<mainlib>>; Id: 2069; RI: 0.
Hit 14 : <<2,4-Decadienal>>;<<C10H16O>>; MF: 428; RMF: 660; Prob: -1.00; CAS:2363-88-4; Mw: 152; Lib: <<replib>>; Id: 14164; RI: 1317.
Hit 15 : <<Spirohexan-5-one>>;<<C6H8O>>; MF: 436; RMF: 654; Prob: -1.00; CAS:20061-22-7; Mw: 96; Lib: <<mainlib>>; Id: 2326; RI: 0.
Hit 16 : <<Cyclohexane, 1,2-dichloro-, trans->>;<<C6H10Cl2>>; MF: 514; RMF: 653; Prob: -1.00; CAS:822-86-6; Mw: 152; Lib: <<replib>>; Id: 14335; RI: 0.
Hit 17 : <<(E)-2-Butenylcyclopropane>>;<<C7H12>>; MF: 377; RMF: 651; Prob: -1.00; CAS:76588-98-2; Mw: 96; Lib: <<mainlib>>; Id: 23676; RI: 715.
Hit 18 : <<Cyclohexane, 1,3-dichloro->>;<<C6H10Cl2>>; MF: 476; RMF: 647; Prob: -1.00; CAS:55887-78-0; Mw: 152; Lib: <<mainlib>>; Id: 62533; RI: 0.
Hit 19 : <<cis-1,4-Cyclohexanediol, O,O'-bis(trifluoroacetyl)>>;<<C10H10F6O4>>; MF: 593; RMF: 641; Prob: -1.00; CAS:0; Mw: 308; Lib: <<mainlib>>; Id: 61632; RI: 0.
Hit 20 : <<Oxirane, 3-[5-(4-azidophenoxy)-3-methyl-3-pentenyl]-2,2-dimethyl-, (E)-ñ->>;<<C16H21N3O2>>; MF: 423; RMF: 638; Prob: -1.00; CAS:106929-45-7; Mw: 287; Lib: <<mainlib>>; Id: 9903; RI: 0.
Hit 21 : <<2-Hexyne, 4-methyl->>;<<C7H12>>; MF: 400; RMF: 634; Prob: -1.00; CAS:20198-49-6; Mw: 96; Lib: <<replib>>; Id: 14260; RI: 690.
Hit 22 : <<1,3-Diazine>>;<<C4H4N2>>; MF: 463; RMF: 633; Prob: -1.00; CAS:289-95-2; Mw: 80; Lib: <<mainlib>>; Id: 61484; RI: 0.
Hit 23 : <<2-Cyclopenten-1-one, 3-ethyl->>;<<C7H10O>>; MF: 404; RMF: 631; Prob: -1.00; CAS:5682-69-9; Mw: 110; Lib: <<mainlib>>; Id: 62922; RI: 1052.
Hit 24 : <<Bicyclo[6.1.0]non-4-ene>>;<<C9H14>>; MF: 520; RMF: 630; Prob: -1.00; CAS:4729-13-9; Mw: 122; Lib: <<mainlib>>; Id: 61510; RI: 0.
Hit 25 : <<Ethanone, 1-[3-[[5-(3,3-dimethyloxiranyl)-3-methyl-2-pentenyl]oxy]phenyl]-, (E)-ñ->>;<<C18H24O3>>; MF: 491; RMF: 630; Prob: -1.00; CAS:106929-49-1; Mw: 288; Lib: <<mainlib>>; Id: 9905; RI: 0.
Hit 26 : <<2-Cyclohexenylacetic acid, methyl ester>>;<<C9H14O2>>; MF: 418; RMF: 627; Prob: -1.00; CAS:16423-29-3; Mw: 154; Lib: <<mainlib>>; Id: 62625; RI: 0.
