sampleID;class
5_Ext_blank;Process_Blank
10_QC;Quality_Control
21_QC;Quality_Control
32_QC;Quality_Control
44_QC;Quality_Control
55_QC;Quality_Control
65_QC;Quality_Control
66_QC;Quality_Control
9_QC;Quality_Control
11_Callo_52_9mg_3;Samples
12_Brote_14_5mg_1;Samples
13_Brote_50 _ 1mg_3;Samples
14_Brote_44_2 mg_2;Samples
15_Brote_76_08mg_1;Samples
16_Brote_25_ 3 mg_1;Samples
17_Brote_33_5 mg_3;Samples
18_Brote_6_6mg_2;Samples
19_Brote_22_3mg_2;Samples
20_Brote_6_6mg_1;Samples
22_Brote_76_08mg_2;Samples
23_Brote_50 _ 1mg_2;Samples
24_Brote_33_4mg_1;Samples
25_Brote_44_2 mg_3;Samples
26_Brote_6_8mg_1;Samples
27_Brote_12_5mg_2;Samples
28_Brote_24_ 8mg_3;Samples
29_Brote_25_ 3 mg_3;Samples
30_Brote_33_4mg_2;Samples
31_Brote_22_3mg_3;Samples
34_Brote_14_5mg_2;Samples
35_Brote_76_08mg_3;Samples
36_Callo_40_2mg_1;Samples
37_Brote_27_8 mg_1;Samples
38_Callo_40_2mg_3;Samples
39_Callo_52_9mg_1;Samples
40_Brote_6_6mg_2;Samples
41_Brote_12_5mg_3;Samples
42_Callo_56_2mg_2;Samples
43_Brote_33_5 mg_2;Samples
45_Callo_52_9mg_2;Samples
46_Brote_33_4mg_3;Samples
47_Brote_12_5mg_1;Samples
48_Brote_6_8mg_3;Samples
49_Brote_27_8 mg_2;Samples
50_Brote_24_ 8mg_1;Samples
51_Brote_33_5 mg_1;Samples
52_Brote_14_5mg_3;Samples
53_Brote_24_ 8mg_2;Samples
54_Brote_44_2 mg_1;Samples
57_Brote_27_8 mg_3;Samples
58_Brote_22_3mg_1;Samples
59_Callo_40_2mg_2;Samples
60_Brote_50 _ 1mg_1;Samples
61_Callo_56_2mg_3;Samples
62_Callo_56_2mg_1;Samples
63_Brote_6_8mg_2;Samples
64_Brote_25_ 3 mg_2;Samples
