row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,5_Ext_blank.mzXML Peak height,15_Brote_76_08mg_1.mzXML Peak height,28_Brote_24_ 8mg_3.mzXML Peak height,13_Brote_50 _ 1mg_3.mzXML Peak height,22_Brote_76_08mg_2.mzXML Peak height,43_Brote_33_5 mg_2.mzXML Peak height,12_Brote_14_5mg_1.mzXML Peak height,35_Brote_76_08mg_3.mzXML Peak height,26_Brote_6_8mg_1.mzXML Peak height,46_Brote_33_4mg_3.mzXML Peak height,58_Brote_22_3mg_1.mzXML Peak height,20_Brote_6_6mg_1.mzXML Peak height,59_Callo_40_2mg_2.mzXML Peak height,24_Brote_33_4mg_1.mzXML Peak height,42_Callo_56_2mg_2.mzXML Peak height,30_Brote_33_4mg_2.mzXML Peak height,38_Callo_40_2mg_3.mzXML Peak height,57_Brote_27_8 mg_3.mzXML Peak height,23_Brote_50 _ 1mg_2.mzXML Peak height,10_QC.mzXML Peak height,62_Callo_56_2mg_1.mzXML Peak height,48_Brote_6_8mg_3.mzXML Peak height,18_Brote_6_6mg_2.mzXML Peak height,34_Brote_14_5mg_2.mzXML Peak height,52_Brote_14_5mg_3.mzXML Peak height,9_QC.mzXML Peak height,19_Brote_22_3mg_2.mzXML Peak height,65_QC.mzXML Peak height,37_Brote_27_8 mg_1.mzXML Peak height,31_Brote_22_3mg_3.mzXML Peak height,17_Brote_33_5 mg_3.mzXML Peak height,11_Callo_52_9mg_3.mzXML Peak height,14_Brote_44_2 mg_2.mzXML Peak height,60_Brote_50 _ 1mg_1.mzXML Peak height,47_Brote_12_5mg_1.mzXML Peak height,41_Brote_12_5mg_3.mzXML Peak height,63_Brote_6_8mg_2.mzXML Peak height,54_Brote_44_2 mg_1.mzXML Peak height,36_Callo_40_2mg_1.mzXML Peak height,21_QC.mzXML Peak height,16_Brote_25_ 3 mg_1.mzXML Peak height,66_QC.mzXML Peak height,64_Brote_25_ 3 mg_2.mzXML Peak height,32_QC.mzXML Peak height,29_Brote_25_ 3 mg_3.mzXML Peak height,45_Callo_52_9mg_2.mzXML Peak height,40_Brote_6_6mg_2.mzXML Peak height,49_Brote_27_8 mg_2.mzXML Peak height,55_QC.mzXML Peak height,25_Brote_44_2 mg_3.mzXML Peak height,51_Brote_33_5 mg_1.mzXML Peak height,39_Callo_52_9mg_1.mzXML Peak height,27_Brote_12_5mg_2.mzXML Peak height,50_Brote_24_ 8mg_1.mzXML Peak height,61_Callo_56_2mg_3.mzXML Peak height,44_QC.mzXML Peak height,53_Brote_24_ 8mg_2.mzXML Peak height,
174,49.9710094640972,3.4837496,,,,,,,,,,,0,0,676.78784,0,0,570.8104,0,0,0,626.0876,0,0,0,0,644.8758,513.7509,0,0,0,0,636.3416,0,0,0,534.45764,0,0,0,0,0,0,0,0,0,577.66394,544.29193,0,0,0,0,0,0,473.64563,0,0,591.6319,0,580.8578,0,0,0,596.6201,0,761.7692,694.08466,0,767.4263,
549,49.973823409117685,4.23125,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,512.0709,0,507.96796,474.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544.8359,0,0,0,0,0,0,
40,49.97410495502421,3.2385423,,,,,,,,,,,0,0,656.4011,628.66064,486.35437,845.2249,513.3419,501.16867,0,771.8565,631.16016,521.1396,869.5155,676.4923,754.8944,666.15985,785.8457,689.29816,734.049,0,834.77576,572.1769,479.23602,597.1399,689.05884,0,501.44785,550.0477,669.79895,614.09216,501.20367,570.48315,544.4805,814.2109,760.4433,706.9029,627.3632,750.38477,757.41943,0,0,0,637.60315,653.21344,0,912.7708,548.37756,785.0749,724.5106,730.2076,814.6718,798.6842,718.82214,817.06537,787.2769,626.7483,765.56946,
81,49.97455683489408,3.32,,,,,,,,,,,0,455.91306,0,581.3354,512.6113,0,0,0,483.55344,0,0,531.7581,0,621.76495,0,0,683.0412,0,0,0,0,554.05164,479.5623,0,0,0,514.8748,0,0,568.7352,541.15955,527.879,0,0,0,0,620.6551,0,0,541.9124,536.07227,647.54596,0,0,533.58124,0,489.53253,0,595.9274,0,0,0,691.49786,0,0,564.56946,0,
238,49.97610872363626,3.599375,,,,,,,,,,,0,0,855.9281,0,0,0,0,0,0,0,0,0,0,0,703.92255,0,0,0,0,0,615.3511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.2818,0,0,0,499.89996,0,594.87744,577.68195,0,617.80286,
505,49.97705587071142,4.1284614,,,,,,,,,,,0,556.37366,975.3841,744.06866,532.441,716.6803,0,530.1468,453.61588,579.11444,0,0,470.6829,649.9026,1536.2285,695.0925,584.26416,0,922.8408,0,1106.6881,552.677,0,451.70578,541.56,0,0,0,696.83685,507.66232,467.8774,501.71036,455.8372,542.13306,560.8768,566.9176,494.0245,0,586.2968,497.5917,0,0,0,0,0,582.72375,0,642.42694,0,519.6273,605.52826,639.5953,617.5453,957.4351,1114.3723,452.6744,975.1608,
5552,49.978176149803176,20.01,,,,,,,,,,,0,0,0,0,0,1057.9725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939.0301,514.4766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.47073,0,0,0,0,0,
5842,49.97895186989259,20.35,,,,,,,,,,,0,0,0,0,0,0,492.64957,0,529.2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486.7911,0,0,0,0,
5496,49.97942803011383,19.956001,,,,,,,,,,,0,865.3766,0,554.7136,1024.8722,0,2022.6711,0,0,844.2419,0,0,0,1199.2946,0,0,521.0706,0,579.14746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.32983,0,0,0,0,0,0,0,0,0,0,0,1008.6957,0,0,0,0,0,0,
457,49.98061077989288,4.0375,,,,,,,,,,,0,0,534.5783,0,0,0,0,0,0,0,0,0,0,0,640.73096,0,0,0,0,0,508.47696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.50836,647.98724,0,501.93005,
