row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,31_Brote_22_3mg_3.mzXML Peak height,58_Brote_22_3mg_1.mzXML Peak height,12_Brote_14_5mg_1.mzXML Peak height,9_QC.mzXML Peak height,46_Brote_33_4mg_3.mzXML Peak height,16_Brote_25_ 3 mg_1.mzXML Peak height,60_Brote_50 _ 1mg_1.mzXML Peak height,38_Callo_40_2mg_3.mzXML Peak height,50_Brote_24_ 8mg_1.mzXML Peak height,24_Brote_33_4mg_1.mzXML Peak height,34_Brote_14_5mg_2.mzXML Peak height,5_Ext_blank.mzXML Peak height,11_Callo_52_9mg_3.mzXML Peak height,48_Brote_6_8mg_3.mzXML Peak height,49_Brote_27_8 mg_2.mzXML Peak height,63_Brote_6_8mg_2.mzXML Peak height,66_QC.mzXML Peak height,57_Brote_27_8 mg_3.mzXML Peak height,29_Brote_25_ 3 mg_3.mzXML Peak height,14_Brote_44_2 mg_2.mzXML Peak height,51_Brote_33_5 mg_1.mzXML Peak height,30_Brote_33_4mg_2.mzXML Peak height,22_Brote_76_08mg_2.mzXML Peak height,41_Brote_12_5mg_3.mzXML Peak height,36_Callo_40_2mg_1.mzXML Peak height,25_Brote_44_2 mg_3.mzXML Peak height,42_Callo_56_2mg_2.mzXML Peak height,23_Brote_50 _ 1mg_2.mzXML Peak height,61_Callo_56_2mg_3.mzXML Peak height,13_Brote_50 _ 1mg_3.mzXML Peak height,26_Brote_6_8mg_1.mzXML Peak height,47_Brote_12_5mg_1.mzXML Peak height,18_Brote_6_6mg_2.mzXML Peak height,45_Callo_52_9mg_2.mzXML Peak height,35_Brote_76_08mg_3.mzXML Peak height,55_QC.mzXML Peak height,32_QC.mzXML Peak height,65_QC.mzXML Peak height,64_Brote_25_ 3 mg_2.mzXML Peak height,62_Callo_56_2mg_1.mzXML Peak height,10_QC.mzXML Peak height,21_QC.mzXML Peak height,37_Brote_27_8 mg_1.mzXML Peak height,44_QC.mzXML Peak height,52_Brote_14_5mg_3.mzXML Peak height,17_Brote_33_5 mg_3.mzXML Peak height,39_Callo_52_9mg_1.mzXML Peak height,54_Brote_44_2 mg_1.mzXML Peak height,28_Brote_24_ 8mg_3.mzXML Peak height,27_Brote_12_5mg_2.mzXML Peak height,15_Brote_76_08mg_1.mzXML Peak height,19_Brote_22_3mg_2.mzXML Peak height,20_Brote_6_6mg_1.mzXML Peak height,53_Brote_24_ 8mg_2.mzXML Peak height,43_Brote_33_5 mg_2.mzXML Peak height,59_Callo_40_2mg_2.mzXML Peak height,40_Brote_6_6mg_2.mzXML Peak height,
1335,50.98858200783462,53.44125,,,,,,,,,,,0,0,0,0,0,578.50507,0,0,0,0,0,0,0,0,0,0,0,0,644.47076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.5616,0,0,0,0,0,0,0,402.66885,0,0,0,0,0,0,0,0,0,0,
436,50.98998662690432,52.370586,,,,,,,,,,,0,0,482.15527,0,0,1622.6868,0,0,0,0,424.64334,0,469.40045,0,0,0,0,0,1472.3861,0,0,0,0,1247.8745,0,0,825.6048,757.54755,634.3276,730.43317,0,1083.8013,0,446.37756,0,0,0,0,1248.0206,573.20953,0,458.07812,0,0,0,0,492.76758,0,0,1411.5449,0,0,0,0,0,0,0,
1034,50.99008206309344,53.12684,,,,,,,,,,,0,0,910.48315,991.05457,0,0,0,0,0,583.9915,595.5116,0,1542.6443,0,0,0,0,0,0,837.57275,0,586.12256,564.21674,0,0,715.0566,1042.4633,1027.3828,461.2733,1071.1553,696.7859,0,0,711.6394,0,0,0,0,0,487.58026,0,1020.8052,0,0,0,0,1104.9827,0,0,2151.1511,0,0,0,0,0,0,0,
108,52.991646244313806,50.203335,,,,,,,,,,,0,0,0,0,0,0,0,0,564.59106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.00525,0,0,0,0,532.1569,0,0,0,
816,52.99206868892136,52.915333,,,,,,,,,,,504.22327,0,0,0,0,0,0,0,0,0,540.6391,0,0,0,0,0,0,0,0,0,0,0,690.24976,0,0,0,0,641.678,0,0,601.98987,0,809.5492,0,0,0,615.11505,0,0,0,581.3913,750.5891,0,773.2667,567.0667,0,0,0,587.6358,0,0,613.6581,887.3122,0,0,0,837.63617,
450,52.995178210725506,52.38375,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.23474,0,0,0,0,0,0,0,551.7254,0,0,0,0,0,0,499.85126,468.45276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1887,52.99557300648564,53.8825,,,,,,,,,,,0,0,0,0,0,0,0,0,544.2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.3318,0,0,0,0,0,0,0,0,562.2939,0,0,694.5907,
198,52.996052607708044,50.48875,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528.4812,0,621.3959,0,0,0,0,0,487.66394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.4282,
675,52.99619395675324,52.818123,,,,,,,,,,,0,0,0,0,0,0,0,565.29846,0,0,0,0,0,0,0,0,0,0,0,574.97516,0,0,0,0,0,0,606.51227,0,0,0,0,0,0,611.46356,0,0,0,0,0,470.85126,0,0,0,0,0,0,583.24713,0,0,0,0,583.1965,0,509.62112,0,0,0,
1217,52.9968076578185,53.342003,,,,,,,,,,,0,0,0,0,0,0,0,556.70154,0,0,0,0,554.47925,0,0,0,0,0,0,0,0,0,698.2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538.1517,552.5449,0,0,0,0,0,0,0,0,0,0,0,
1032,52.99780264520929,53.12625,,,,,,,,,,,0,0,573.4619,0,0,2002.6567,0,0,0,0,0,0,615.5234,0,0,0,0,0,1630.6152,589.0337,0,563.3635,685.7633,664.7692,0,524.6476,0,688.6084,0,628.0896,619.9722,614.82184,716.58875,0,0,0,0,0,747.76465,0,512.6087,0,0,0,0,551.0186,598.31805,0,0,758.3109,0,0,0,0,572.94244,0,0,
1389,52.99912829695121,53.48079,,,,,,,,,,,563.1991,0,644.9245,0,0,0,0,572.3838,0,617.1282,640.5345,0,582.63025,0,0,0,0,0,0,597.47235,0,0,738.711,605.5267,0,527.30304,697.3455,0,0,0,0,518.1363,780.8277,666.4848,0,0,532.02454,0,595.10986,589.7362,0,0,0,581.19385,589.67834,561.3223,676.0709,0,0,0,658.45374,589.70483,818.18665,0,0,0,776.2017,
913,52.999589991054904,53.00846,,,,,,,,,,,564.4034,0,0,0,0,788.88,0,0,0,634.7637,0,0,0,0,0,0,0,0,643.90717,573.2844,0,565.10004,0,0,0,570.08466,0,0,0,0,0,0,0,564.5881,0,0,0,0,497.71918,0,0,0,0,0,0,584.1069,0,0,0,0,650.5639,621.37366,0,0,579.6008,0,0,
2013,53.00383874274987,53.963,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562.0046,0,592.9166,0,0,0,0,0,472.95163,0,0,0,0,0,0,0,460.93463,0,0,0,588.0749,0,0,0,0,0,
642,54.00387066424478,52.75833,,,,,,,,,,,0,0,781.91895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042.2521,977.70905,0,0,0,0,0,0,0,
1343,54.00517746432365,53.447002,,,,,,,,,,,0,0,775.42206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934.45703,0,676.6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658.46027,0,0,0,0,0,0,0,0,0,0,951.2883,0,0,0,0,0,0,0,
1060,54.00588312343299,53.14555,,,,,,,,,,,0,0,0,0,0,1441.0723,462.3926,854.34686,0,0,0,0,0,0,0,0,0,0,873.74994,0,0,0,0,913.3632,0,0,924.3413,961.1177,0,0,0,0,0,0,0,0,754.879,0,0,0,749.9065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
934,54.007539427513585,53.027138,,,,,,,,,,,0,0,0,0,0,1408.3031,0,0,0,0,0,0,0,0,619.13666,0,0,0,0,930.424,0,808.98364,1341.5414,905.4688,0,798.2896,0,0,0,0,0,754.02515,0,0,0,0,0,0,0,0,733.78326,0,0,981.40375,0,863.3076,0,0,0,0,1156.5149,1013.3135,0,0,863.57635,0,0,
81,54.00786458550924,50.062187,,,,,,,,,,,0,0,0,571.96796,0,0,559.9111,0,724.0307,0,0,0,0,947.84863,0,796.5603,486.08795,0,0,0,0,0,0,0,812.0219,0,0,0,608.60803,0,0,0,0,1027.07,664.27625,0,0,511.12094,0,651.5796,0,0,0,0,0,0,1103.3772,630.3475,0,0,0,0,0,755.90063,0,576.18896,0,
620,54.00836570533299,52.653004,,,,,,,,,,,0,0,0,0,0,0,0,0,747.27264,0,789.3168,0,0,0,0,0,0,0,0,908.9575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039.9883,0,0,0,0,813.54266,0,0,0,
