row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,53_Brote_24_ 8mg_2.mzXML Peak height,65_QC.mzXML Peak height,50_Brote_24_ 8mg_1.mzXML Peak height,39_Callo_52_9mg_1.mzXML Peak height,57_Brote_27_8 mg_3.mzXML Peak height,24_Brote_33_4mg_1.mzXML Peak height,21_QC.mzXML Peak height,47_Brote_12_5mg_1.mzXML Peak height,38_Callo_40_2mg_3.mzXML Peak height,28_Brote_24_ 8mg_3.mzXML Peak height,9_QC.mzXML Peak height,63_Brote_6_8mg_2.mzXML Peak height,10_QC.mzXML Peak height,29_Brote_25_ 3 mg_3.mzXML Peak height,55_QC.mzXML Peak height,25_Brote_44_2 mg_3.mzXML Peak height,23_Brote_50 _ 1mg_2.mzXML Peak height,35_Brote_76_08mg_3.mzXML Peak height,26_Brote_6_8mg_1.mzXML Peak height,43_Brote_33_5 mg_2.mzXML Peak height,41_Brote_12_5mg_3.mzXML Peak height,36_Callo_40_2mg_1.mzXML Peak height,44_QC.mzXML Peak height,15_Brote_76_08mg_1.mzXML Peak height,58_Brote_22_3mg_1.mzXML Peak height,66_QC.mzXML Peak height,45_Callo_52_9mg_2.mzXML Peak height,12_Brote_14_5mg_1.mzXML Peak height,20_Brote_6_6mg_1.mzXML Peak height,46_Brote_33_4mg_3.mzXML Peak height,5_Ext_blank.mzXML Peak height,40_Brote_6_6mg_2.mzXML Peak height,19_Brote_22_3mg_2.mzXML Peak height,11_Callo_52_9mg_3.mzXML Peak height,48_Brote_6_8mg_3.mzXML Peak height,59_Callo_40_2mg_2.mzXML Peak height,14_Brote_44_2 mg_2.mzXML Peak height,27_Brote_12_5mg_2.mzXML Peak height,30_Brote_33_4mg_2.mzXML Peak height,31_Brote_22_3mg_3.mzXML Peak height,42_Callo_56_2mg_2.mzXML Peak height,16_Brote_25_ 3 mg_1.mzXML Peak height,32_QC.mzXML Peak height,54_Brote_44_2 mg_1.mzXML Peak height,17_Brote_33_5 mg_3.mzXML Peak height,18_Brote_6_6mg_2.mzXML Peak height,34_Brote_14_5mg_2.mzXML Peak height,49_Brote_27_8 mg_2.mzXML Peak height,22_Brote_76_08mg_2.mzXML Peak height,61_Callo_56_2mg_3.mzXML Peak height,62_Callo_56_2mg_1.mzXML Peak height,13_Brote_50 _ 1mg_3.mzXML Peak height,52_Brote_14_5mg_3.mzXML Peak height,64_Brote_25_ 3 mg_2.mzXML Peak height,51_Brote_33_5 mg_1.mzXML Peak height,60_Brote_50 _ 1mg_1.mzXML Peak height,37_Brote_27_8 mg_1.mzXML Peak height,
755,52.99462674632364,55.718334,,,,,,,,,,,849.29877,0,840.8826,0,0,0,0,0,0,873.21185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
179,52.99734125214977,54.31831,,,,,,,,,,,0,1028.5309,0,1236.6104,1177.765,1522.6381,1448.1886,985.3423,1174.6371,0,1056.6355,888.82837,1017.29517,1235.2513,1094.2811,1305.9104,1472.3698,1854.4874,915.3694,1734.5001,1118.8506,1087.968,1361.0778,1893.8761,1408.2272,1117.0935,1173.1769,1867.2373,1733.1315,1389.0585,0,1730.7084,1923.6564,1115.3972,919.6064,944.1873,1224.4329,1127.7633,1420.6747,1775.3,1775.6178,1305.8411,1232.4991,1109.3838,1408.9955,1701.7656,1876.7214,1600.714,2167.2866,1593.8398,1553.3949,1346.3073,1970.6774,1167.9784,1465.4436,1201.9435,1563.663,
656,52.99846260630096,55.629185,,,,,,,,,,,815.7208,1319.9402,826.89246,1605.473,1699.611,2243.1167,1780.1726,1405.3926,1659.9281,887.6434,1322.3168,1547.6166,1278.4354,1733.6597,1506.6665,1999.7966,1412.185,2887.9468,1633.9696,2315.327,1464.428,1503.915,1796.3164,3013.1226,2561.9163,1505.826,1658.595,1907.565,1632.2357,2149.0647,0,1663.0579,3032.8564,1281.7744,1493.5505,1354.7284,1876.7228,1550.1226,2072.2886,2892.6538,1636.3076,1737.103,1713.7509,1854.9628,1945.2778,1733.2511,2047.9314,2111.5803,3295.325,1461.0255,1494.7179,1242.1344,2106.7954,1570.0481,2019.714,1090.1769,2045.0555,
377,52.99846466561665,54.767494,,,,,,,,,,,1324.8369,2835.531,1278.9977,4083.723,3017.9717,4029.3923,3606.8796,2776.477,3991.1736,1260.1206,2861.2373,1775.7323,2740.0813,3542.9512,2994.949,3605.1821,3816.2302,3713.1348,1880.503,4116.7197,3009.1465,3715.2673,3619.0745,3726.7615,3777.6223,3145.8918,4208.944,5690.0146,5755.1025,3985.8103,0,5997.527,4379.5703,3507.8914,1863.9912,3514.816,3401.3132,3047.3777,3859.0398,4174.6675,5144.282,3651.646,3464.294,3452.022,3328.5012,5989.5303,5849.4233,3787.3613,4212.7314,4764.177,5068.9736,3444.5103,6344.828,3658.016,3545.6636,3189.201,3717.515,
61,54.02829414728258,54.31633,,,,,,,,,,,0,601.6208,0,0,527.729,1035.0706,1013.102,768.8084,849.43677,0,615.2517,0,711.95557,898.36743,578.5417,884.7551,0,805.28406,0,925.9739,901.2262,740.96173,857.69336,1149.0984,542.46747,519.77246,836.49005,1010.9356,1351.2157,768.6669,0,1149.576,1011.80975,815.05817,0,0,953.68353,0,857.03204,952.60803,940.52893,0,768.9235,638.02094,918.1242,1248.849,887.9163,716.7561,1257.8888,696.54694,742.2903,999.8908,919.6744,696.4011,696.11444,536.74274,748.9585,
666,54.038910786527,55.62944,,,,,,,,,,,0,611.1422,0,851.31647,664.46844,1033.2593,1044.5132,789.2586,883.59467,0,651.2056,0,0,918.78296,669.80615,923.3449,992.12555,1072.1373,895.6852,1100.7313,936.3635,760.2831,882.6018,1209.8362,767.79865,668.66425,852.2308,957.0566,0,892.35925,0,0,1218.5833,0,813.3759,599.26154,930.6273,970.7225,939.65155,1103.0579,0,0,877.18604,777.3233,961.764,0,865.57043,863.6365,1283.6162,695.0098,652.2344,0,848.2259,738.238,815.15265,532.4629,877.9356,
378,54.046000703590884,54.767494,,,,,,,,,,,0,1070.679,0,1551.7892,1088.8038,1674.0922,1612.4377,1159.4247,1573.3717,0,1015.033,0,1160.1124,1439.716,1009.4995,1367.3043,1493.7627,1312.593,1011.08795,1509.1157,1306.0837,1376.1804,1481.5979,1603.6918,1227.1592,1124.2899,1596.7421,1952.0212,2347.246,1309.3805,0,2309.75,1736.8693,1469.3665,968.1517,1145.7231,1339.9242,1388.9869,1522.932,1521.8163,1885.5443,1758.241,1372.2272,1255.6028,1343.607,2167.3835,2032.1954,1386.6248,1774.4777,1524.0801,1624.49,1449.7705,1998.4442,1270.745,1264.133,1078.2174,1344.9376,
170,55.0,54.318024,,,,,,,,,,,0,8940.807,0,11103.573,12400.621,14427.351,13057.752,8589.121,10934.087,0,9461.543,7143.286,9478.732,11092.257,10273.993,12045.823,13825.588,19026.451,7935.7583,16484.086,9787.074,10262.922,12678.551,20233.998,14552.869,10155.34,11133.429,18576.934,16596.467,12964.422,0,16418.219,18761.934,9932.131,7853.1606,9026.819,11916.975,9647.715,13307.635,17993.125,16368.545,11824.224,11942.923,11044.371,13486.064,16710.682,19707.201,15370.242,22432.51,14463.904,15209.17,12563.777,20005.174,10581.734,14535.764,10493.396,14975.975,
657,55.0,55.629185,,,,,,,,,,,7499.334,13927.582,7500.9365,16642.23,19532.094,24345.857,19206.895,14631.576,16430.31,7720.458,14585.615,15882.46,13680.2,17092.963,16175.302,21462.914,14511.791,34528.117,16147.651,25628.45,15727.05,15725.56,18997.406,34872.527,28768.627,16341.358,16580.154,20641.137,16794.232,23547.969,0,16625.111,33078.727,14026.827,16096.528,14157.056,19774.896,15716.708,22967.16,32123.482,17143.705,18802.855,18369.795,19854.277,20992.533,16936.537,22034.422,24169.67,38041.27,15630.157,16499.576,12957.013,22608.031,17343.162,22959.963,11096.027,23131.607,
863,55.0,56.256668,,,,,,,,,,,8143.0156,0,8307.842,0,0,0,0,0,0,7537.4556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
